id,weight,price
i-880230,0.78,99.99
i-880231,1.48,199.99
i-880232,0.483,1099.0
i-880233,0.166,799.0
i-880234,0.98,129.99
i-880235,0.166,799.0
i-880236,0.483,79.99
i-880237,0.495,129.0
i-880238,0.2,39.99
i-880239,0.188,1149.0
i-880240,0.38,29.99
i-880241,0.483,1099.0
i-880242,0.98,129.99
i-880243,0.172,699.0
i-880244,0.21,529.0
i-880245,0.21,529.0
i-880246,0.483,1099.0
i-880247,0.21,529.0
i-880248,1.48,199.99
i-880249,1.48,199.99
i-880250,0.483,1099.0
i-880251,0.44,476.0
i-880252,1.28,149.99
i-880253,0.483,79.99
i-880254,0.88,89.99
i-880255,0.483,495.0
i-880256,1.48,199.99
i-880257,0.38,29.99
i-880258,0.2,39.99
i-880259,0.483,79.99
i-880260,1.48,199.99
i-880261,1.25,2200.0
i-880262,1.37,2500.0
i-880263,0.188,1149.0
i-880264,0.483,1099.0
i-880265,0.21,529.0
i-880266,0.2,39.99
i-880267,0.44,476.0
i-880268,0.78,99.99
i-880269,0.78,99.99
i-880270,0.2,39.99
i-880271,1.37,2500.0
i-880272,0.38,29.99
i-880273,0.2,39.99
i-880274,0.44,476.0
i-880275,0.166,799.0
i-880276,0.172,699.0
i-880277,0.483,79.99
i-880278,1.28,149.99
i-880279,0.483,495.0
i-880280,1.25,2200.0
i-880281,0.44,476.0
i-880282,0.483,495.0
i-880283,0.98,129.99
i-880284,0.172,699.0
i-880285,0.28,449.0
i-880286,1.48,199.99
i-880287,0.28,89.99
i-880288,0.88,89.99
i-880289,0.188,1149.0
i-880290,0.21,529.0
i-880291,1.48,199.99
i-880292,0.495,129.0
i-880293,0.21,529.0
i-880294,0.188,1149.0
i-880295,1.37,2500.0
i-880296,0.495,129.0
i-880297,1.28,149.99
i-880298,1.48,199.99
i-880299,0.21,529.0
i-880300,0.188,1149.0
i-880301,0.98,129.99
i-880302,0.483,1099.0
i-880303,0.483,495.0
i-880304,0.483,1099.0
i-880305,0.166,799.0
i-880306,0.495,129.0
i-880307,0.38,29.99
i-880308,0.78,99.99
i-880309,0.28,89.99
i-880310,0.21,529.0
i-880311,0.483,1099.0
i-880312,1.37,2500.0
i-880313,0.166,799.0
i-880314,0.28,89.99
i-880315,1.25,2200.0
i-880316,0.188,1149.0
i-880317,0.78,99.99
i-880318,0.495,129.0
i-880319,0.2,39.99
i-880320,0.483,79.99
i-880321,0.172,699.0
i-880322,0.483,1099.0
i-880323,0.98,129.99
i-880324,0.28,449.0
i-880325,0.483,79.99
i-880326,0.483,1099.0
i-880327,1.48,199.99
i-880328,0.188,1149.0
i-880329,1.48,199.99
i-880330,0.172,699.0
i-880331,0.98,129.99
i-880332,0.28,449.0
i-880333,0.28,449.0
i-880334,0.483,1099.0
i-880335,0.28,449.0
i-880336,0.2,39.99
i-880337,0.2,39.99
i-880338,1.28,149.99
i-880339,1.28,149.99
i-880340,0.166,799.0
i-880341,0.483,79.99
i-880342,1.28,149.99
i-880343,0.2,39.99
i-880344,1.28,149.99
i-880345,0.38,29.99
i-880346,0.483,1099.0
i-880347,0.166,799.0
i-880348,0.21,529.0
i-880349,0.88,89.99
i-880350,0.21,529.0
i-880351,1.25,2200.0
i-880352,0.483,495.0
i-880353,0.483,79.99
i-880354,0.28,89.99
i-880355,1.37,2500.0
i-880356,1.48,199.99
i-880357,0.98,129.99
i-880358,0.483,1099.0
i-880359,0.172,699.0
i-880360,0.2,39.99
i-880361,0.44,476.0
i-880362,0.495,129.0
i-880363,1.37,2500.0
i-880364,0.98,129.99
i-880365,1.37,2500.0
i-880366,0.172,699.0
i-880367,0.483,1099.0
i-880368,0.188,1149.0
i-880369,0.172,699.0
i-880370,0.483,1099.0
i-880371,0.28,89.99
i-880372,0.44,476.0
i-880373,0.483,495.0
i-880374,0.172,699.0
i-880375,0.44,476.0
i-880376,0.78,99.99
i-880377,0.2,39.99
i-880378,0.2,39.99
i-880379,0.38,29.99
i-880380,0.98,129.99
i-880381,0.98,129.99
i-880382,0.495,129.0
i-880383,0.21,529.0
i-880384,0.172,699.0
i-880385,1.48,199.99
i-880386,1.25,2200.0
i-880387,0.38,29.99
i-880388,0.28,89.99
i-880389,0.28,449.0
i-880390,0.98,129.99
i-880391,0.98,129.99
i-880392,0.78,99.99
i-880393,0.188,1149.0
i-880394,0.78,99.99
i-880395,0.495,129.0
i-880396,0.38,29.99
i-880397,0.21,529.0
i-880398,0.38,29.99
i-880399,0.44,476.0
i-880400,0.483,495.0
i-880401,0.2,39.99
i-880402,0.495,129.0
i-880403,0.172,699.0
i-880404,0.98,129.99
i-880405,0.21,529.0
i-880406,0.78,99.99
i-880407,0.188,1149.0
i-880408,0.38,29.99
i-880409,1.37,2500.0
i-880410,0.495,129.0
i-880411,0.495,129.0
i-880412,0.2,39.99
i-880413,0.495,129.0
i-880414,0.38,29.99
i-880415,0.2,39.99
i-880416,0.38,29.99
i-880417,0.172,699.0
i-880418,0.172,699.0
i-880419,1.37,2500.0
i-880420,0.78,99.99
i-880421,0.21,529.0
i-880422,0.166,799.0
i-880423,0.44,476.0
i-880424,0.483,79.99
i-880425,0.88,89.99
i-880426,0.483,495.0
i-880427,0.483,495.0
i-880428,0.78,99.99
i-880429,0.483,79.99
i-880430,0.88,89.99
i-880431,1.25,2200.0
i-880432,0.483,79.99
i-880433,0.2,39.99
i-880434,0.483,495.0
i-880435,0.495,129.0
i-880436,0.166,799.0
i-880437,0.98,129.99
i-880438,1.25,2200.0
i-880439,0.2,39.99
i-880440,0.166,799.0
i-880441,0.188,1149.0
i-880442,1.25,2200.0
i-880443,0.483,1099.0
i-880444,1.28,149.99
i-880445,0.78,99.99
i-880446,0.38,29.99
i-880447,0.44,476.0
i-880448,0.483,79.99
i-880449,1.48,199.99
i-880450,1.37,2500.0
i-880451,0.188,1149.0
i-880452,0.28,89.99
i-880453,1.48,199.99
i-880454,0.2,39.99
i-880455,0.483,1099.0
i-880456,0.188,1149.0
i-880457,1.48,199.99
i-880458,0.483,79.99
i-880459,0.2,39.99
i-880460,0.483,495.0
i-880461,1.25,2200.0
i-880462,0.44,476.0
i-880463,0.483,495.0
i-880464,1.28,149.99
i-880465,0.44,476.0
i-880466,0.172,699.0
i-880467,1.28,149.99
i-880468,0.28,89.99
i-880469,1.25,2200.0
i-880470,0.38,29.99
i-880471,0.483,495.0
i-880472,0.495,129.0
i-880473,1.25,2200.0
i-880474,1.25,2200.0
i-880475,0.188,1149.0
i-880476,1.48,199.99
i-880477,0.38,29.99
i-880478,0.166,799.0
i-880479,1.37,2500.0
i-880480,0.44,476.0
i-880481,0.28,449.0
i-880482,0.483,495.0
i-880483,0.78,99.99
i-880484,1.28,149.99
i-880485,0.2,39.99
i-880486,1.37,2500.0
i-880487,1.37,2500.0
i-880488,0.483,79.99
i-880489,0.88,89.99
i-880490,0.28,449.0
i-880491,0.172,699.0
i-880492,0.28,449.0
i-880493,0.21,529.0
i-880494,1.25,2200.0
i-880495,0.98,129.99
i-880496,0.98,129.99
i-880497,1.25,2200.0
i-880498,1.37,2500.0
i-880499,1.28,149.99
i-880500,0.78,99.99
i-880501,0.78,99.99
i-880502,0.44,476.0
i-880503,0.2,39.99
i-880504,0.2,39.99
i-880505,0.172,699.0
i-880506,0.78,99.99
i-880507,0.88,89.99
i-880508,0.98,129.99
i-880509,0.172,699.0
i-880510,1.25,2200.0
i-880511,0.2,39.99
i-880512,0.44,476.0
i-880513,1.37,2500.0
i-880514,0.188,1149.0
i-880515,0.98,129.99
i-880516,1.37,2500.0
i-880517,0.21,529.0
i-880518,0.98,129.99
i-880519,0.483,495.0
i-880520,0.98,129.99
i-880521,0.28,89.99
i-880522,0.188,1149.0
i-880523,0.495,129.0
i-880524,0.495,129.0
i-880525,0.28,449.0
i-880526,0.38,29.99
i-880527,0.483,495.0
i-880528,1.48,199.99
i-880529,0.78,99.99
i-880530,0.28,449.0
i-880531,0.188,1149.0
i-880532,0.188,1149.0
i-880533,0.166,799.0
i-880534,0.28,89.99
i-880535,1.37,2500.0
i-880536,0.2,39.99
i-880537,0.28,89.99
i-880538,0.88,89.99
i-880539,0.78,99.99
i-880540,1.48,199.99
i-880541,0.166,799.0
i-880542,0.483,1099.0
i-880543,1.25,2200.0
i-880544,0.98,129.99
i-880545,1.25,2200.0
i-880546,0.98,129.99
i-880547,0.21,529.0
i-880548,0.188,1149.0
i-880549,0.2,39.99
i-880550,0.483,1099.0
i-880551,0.38,29.99
i-880552,1.28,149.99
i-880553,0.483,1099.0
i-880554,1.48,199.99
i-880555,1.28,149.99
i-880556,0.483,495.0
i-880557,1.37,2500.0
i-880558,1.37,2500.0
i-880559,0.483,79.99
i-880560,0.2,39.99
i-880561,0.98,129.99
i-880562,0.483,1099.0
i-880563,1.28,149.99
i-880564,0.483,79.99
i-880565,1.25,2200.0
i-880566,0.21,529.0
i-880567,1.48,199.99
i-880568,1.37,2500.0
i-880569,0.483,1099.0
i-880570,0.483,1099.0
i-880571,0.28,449.0
i-880572,0.21,529.0
i-880573,0.483,79.99
i-880574,0.188,1149.0
i-880575,0.166,799.0
i-880576,0.44,476.0
i-880577,0.38,29.99
i-880578,0.166,799.0
i-880579,0.2,39.99
i-880580,0.28,449.0
i-880581,1.28,149.99
i-880582,0.172,699.0
i-880583,0.172,699.0
i-880584,1.25,2200.0
i-880585,0.28,89.99
i-880586,0.483,79.99
i-880587,1.37,2500.0
i-880588,0.38,29.99
i-880589,0.28,89.99
i-880590,0.28,89.99
i-880591,0.38,29.99
i-880592,0.21,529.0
i-880593,0.28,89.99
i-880594,0.166,799.0
i-880595,0.483,495.0
i-880596,0.98,129.99
i-880597,0.188,1149.0
i-880598,0.44,476.0
i-880599,0.28,449.0
i-880600,0.166,799.0
i-880601,0.483,1099.0
i-880602,0.483,495.0
i-880603,0.495,129.0
i-880604,0.78,99.99
i-880605,0.98,129.99
i-880606,0.188,1149.0
i-880607,0.44,476.0
i-880608,0.495,129.0
i-880609,0.28,449.0
i-880610,1.28,149.99
i-880611,0.88,89.99
i-880612,0.78,99.99
i-880613,0.483,1099.0
i-880614,0.495,129.0
i-880615,0.2,39.99
i-880616,0.172,699.0
i-880617,0.98,129.99
i-880618,0.28,89.99
i-880619,0.38,29.99
i-880620,0.28,89.99
i-880621,0.88,89.99
i-880622,0.483,79.99
i-880623,1.28,149.99
i-880624,0.44,476.0
i-880625,0.483,1099.0
i-880626,0.98,129.99
i-880627,0.483,1099.0
i-880628,0.28,449.0
i-880629,0.38,29.99
i-880630,0.78,99.99
i-880631,0.21,529.0
i-880632,0.495,129.0
i-880633,0.166,799.0
i-880634,0.98,129.99
i-880635,1.48,199.99
i-880636,1.37,2500.0
i-880637,0.2,39.99
i-880638,0.88,89.99
i-880639,1.28,149.99
i-880640,0.28,449.0
i-880641,0.188,1149.0
i-880642,0.28,89.99
i-880643,0.21,529.0
i-880644,0.483,495.0
i-880645,0.483,1099.0
i-880646,0.483,1099.0
i-880647,0.28,449.0
i-880648,0.495,129.0
i-880649,0.483,79.99
i-880650,0.483,495.0
i-880651,0.495,129.0
i-880652,0.483,1099.0
i-880653,0.44,476.0
i-880654,0.28,89.99
i-880655,0.44,476.0
i-880656,1.25,2200.0
i-880657,0.2,39.99
i-880658,0.495,129.0
i-880659,0.2,39.99
i-880660,0.88,89.99
i-880661,0.88,89.99
i-880662,0.28,449.0
i-880663,0.88,89.99
i-880664,1.25,2200.0
i-880665,0.21,529.0
i-880666,0.44,476.0
i-880667,0.38,29.99
i-880668,0.166,799.0
i-880669,0.188,1149.0
i-880670,0.495,129.0
i-880671,1.48,199.99
i-880672,0.98,129.99
i-880673,0.44,476.0
i-880674,0.28,89.99
i-880675,0.78,99.99
i-880676,0.44,476.0
i-880677,1.25,2200.0
i-880678,0.21,529.0
i-880679,1.48,199.99
i-880680,0.2,39.99
i-880681,0.172,699.0
i-880682,0.483,1099.0
i-880683,0.172,699.0
i-880684,0.483,495.0
i-880685,0.172,699.0
i-880686,0.78,99.99
i-880687,1.25,2200.0
i-880688,1.28,149.99
i-880689,0.38,29.99
i-880690,0.21,529.0
i-880691,0.78,99.99
i-880692,0.2,39.99
i-880693,0.28,89.99
i-880694,0.78,99.99
i-880695,0.88,89.99
i-880696,0.483,1099.0
i-880697,0.2,39.99
i-880698,0.21,529.0
i-880699,0.28,89.99
i-880700,0.28,449.0
i-880701,0.172,699.0
i-880702,0.88,89.99
i-880703,0.21,529.0
i-880704,0.483,495.0
i-880705,0.483,495.0
i-880706,0.495,129.0
i-880707,0.172,699.0
i-880708,0.483,79.99
i-880709,0.483,495.0
i-880710,0.98,129.99
i-880711,0.188,1149.0
i-880712,0.28,449.0
i-880713,0.28,89.99
i-880714,0.483,495.0
i-880715,1.28,149.99
i-880716,1.28,149.99
i-880717,0.28,89.99
i-880718,0.21,529.0
i-880719,0.483,495.0
i-880720,0.483,1099.0
i-880721,1.37,2500.0
i-880722,0.28,449.0
i-880723,0.172,699.0
i-880724,1.28,149.99
i-880725,0.188,1149.0
i-880726,0.483,495.0
i-880727,0.28,89.99
i-880728,0.172,699.0
i-880729,0.2,39.99
i-880730,0.88,89.99
i-880731,0.78,99.99
i-880732,1.37,2500.0
i-880733,0.188,1149.0
i-880734,0.2,39.99
i-880735,0.88,89.99
i-880736,0.172,699.0
i-880737,0.21,529.0
i-880738,0.21,529.0
i-880739,0.483,1099.0
i-880740,0.483,495.0
i-880741,0.78,99.99
i-880742,0.78,99.99
i-880743,0.483,1099.0
i-880744,0.495,129.0
i-880745,0.78,99.99
i-880746,1.25,2200.0
i-880747,1.25,2200.0
i-880748,0.21,529.0
i-880749,1.25,2200.0
i-880750,0.483,495.0
i-880751,0.495,129.0
i-880752,0.21,529.0
i-880753,0.166,799.0
i-880754,0.28,449.0
i-880755,0.21,529.0
i-880756,1.25,2200.0
i-880757,0.38,29.99
i-880758,0.483,1099.0
i-880759,0.98,129.99
i-880760,1.48,199.99
i-880761,0.88,89.99
i-880762,0.483,1099.0
i-880763,1.37,2500.0
i-880764,1.28,149.99
i-880765,0.28,89.99
i-880766,0.78,99.99
i-880767,0.483,79.99
i-880768,0.495,129.0
i-880769,0.495,129.0
i-880770,1.37,2500.0
i-880771,0.495,129.0
i-880772,0.21,529.0
i-880773,0.172,699.0
i-880774,0.98,129.99
i-880775,1.48,199.99
i-880776,1.25,2200.0
i-880777,0.88,89.99
i-880778,0.188,1149.0
i-880779,1.28,149.99
i-880780,1.48,199.99
i-880781,0.98,129.99
i-880782,0.98,129.99
i-880783,0.21,529.0
i-880784,1.28,149.99
i-880785,0.188,1149.0
i-880786,0.28,449.0
i-880787,0.98,129.99
i-880788,0.28,89.99
i-880789,0.2,39.99
i-880790,0.98,129.99
i-880791,0.44,476.0
i-880792,0.88,89.99
i-880793,0.78,99.99
i-880794,1.37,2500.0
i-880795,0.483,79.99
i-880796,0.38,29.99
i-880797,0.28,89.99
i-880798,0.78,99.99
i-880799,0.2,39.99
i-880800,0.44,476.0
i-880801,0.188,1149.0
i-880802,0.21,529.0
i-880803,0.21,529.0
i-880804,0.495,129.0
i-880805,0.28,89.99
i-880806,0.21,529.0
i-880807,0.188,1149.0
i-880808,0.28,449.0
i-880809,0.483,79.99
i-880810,0.483,79.99
i-880811,1.25,2200.0
i-880812,0.38,29.99
i-880813,0.172,699.0
i-880814,1.25,2200.0
i-880815,0.38,29.99
i-880816,0.2,39.99
i-880817,0.44,476.0
i-880818,0.483,495.0
i-880819,0.98,129.99
i-880820,0.98,129.99
i-880821,0.483,1099.0
i-880822,0.38,29.99
i-880823,0.38,29.99
i-880824,1.28,149.99
i-880825,1.48,199.99
i-880826,0.44,476.0
i-880827,0.483,495.0
i-880828,0.21,529.0
i-880829,1.37,2500.0
i-880830,1.28,149.99
i-880831,1.25,2200.0
i-880832,0.166,799.0
i-880833,0.78,99.99
i-880834,0.172,699.0
i-880835,0.78,99.99
i-880836,0.495,129.0
i-880837,0.44,476.0
i-880838,1.28,149.99
i-880839,0.78,99.99
i-880840,0.188,1149.0
i-880841,0.483,79.99
i-880842,0.495,129.0
i-880843,1.48,199.99
i-880844,0.166,799.0
i-880845,1.37,2500.0
i-880846,0.483,1099.0
i-880847,0.483,1099.0
i-880848,0.2,39.99
i-880849,0.28,89.99
i-880850,0.38,29.99
i-880851,1.28,149.99
i-880852,0.28,449.0
i-880853,0.38,29.99
i-880854,0.88,89.99
i-880855,0.166,799.0
i-880856,0.28,89.99
i-880857,1.37,2500.0
i-880858,0.188,1149.0
i-880859,0.483,79.99
i-880860,1.25,2200.0
i-880861,0.88,89.99
i-880862,0.88,89.99
i-880863,0.28,89.99
i-880864,0.166,799.0
i-880865,0.172,699.0
i-880866,0.483,1099.0
i-880867,0.21,529.0
i-880868,0.28,89.99
i-880869,1.37,2500.0
i-880870,1.37,2500.0
i-880871,0.172,699.0
i-880872,0.483,495.0
i-880873,0.28,449.0
i-880874,0.495,129.0
i-880875,0.28,89.99
i-880876,0.78,99.99
i-880877,0.21,529.0
i-880878,1.25,2200.0
i-880879,1.37,2500.0
i-880880,1.37,2500.0
i-880881,1.28,149.99
i-880882,0.495,129.0
i-880883,0.21,529.0
i-880884,1.37,2500.0
i-880885,0.172,699.0
i-880886,0.28,89.99
i-880887,0.483,495.0
i-880888,0.38,29.99
i-880889,0.483,79.99
i-880890,1.48,199.99
i-880891,0.2,39.99
i-880892,0.188,1149.0
i-880893,0.483,79.99
i-880894,0.21,529.0
i-880895,0.483,495.0
i-880896,0.166,799.0
i-880897,1.37,2500.0
i-880898,0.21,529.0
i-880899,1.25,2200.0
i-880900,0.483,1099.0
i-880901,0.44,476.0
i-880902,0.172,699.0
i-880903,0.21,529.0
i-880904,0.44,476.0
i-880905,0.495,129.0
i-880906,0.98,129.99
i-880907,0.483,1099.0
i-880908,0.166,799.0
i-880909,0.172,699.0
i-880910,0.166,799.0
i-880911,1.48,199.99
i-880912,0.166,799.0
i-880913,0.172,699.0
i-880914,1.48,199.99
i-880915,0.2,39.99
i-880916,0.483,1099.0
i-880917,0.28,89.99
i-880918,1.37,2500.0
i-880919,0.88,89.99
i-880920,0.28,89.99
i-880921,1.25,2200.0
i-880922,0.483,1099.0
i-880923,1.25,2200.0
i-880924,0.21,529.0
i-880925,0.98,129.99
i-880926,0.172,699.0
i-880927,0.38,29.99
i-880928,0.21,529.0
i-880929,0.21,529.0
i-880930,0.21,529.0
i-880931,0.2,39.99
i-880932,0.88,89.99
i-880933,0.166,799.0
i-880934,1.25,2200.0
i-880935,0.483,1099.0
i-880936,0.78,99.99
i-880937,0.2,39.99
i-880938,0.38,29.99
i-880939,0.44,476.0
i-880940,0.172,699.0
i-880941,0.172,699.0
i-880942,0.2,39.99
i-880943,0.44,476.0
i-880944,0.2,39.99
i-880945,0.28,449.0
i-880946,0.172,699.0
i-880947,0.172,699.0
i-880948,1.37,2500.0
i-880949,0.78,99.99
i-880950,1.48,199.99
i-880951,0.483,495.0
i-880952,0.483,79.99
i-880953,0.483,1099.0
i-880954,1.28,149.99
i-880955,0.172,699.0
i-880956,1.48,199.99
i-880957,0.483,495.0
i-880958,0.21,529.0
i-880959,0.188,1149.0
i-880960,0.495,129.0
i-880961,1.48,199.99
i-880962,0.88,89.99
i-880963,1.48,199.99
i-880964,0.44,476.0
i-880965,0.2,39.99
i-880966,0.98,129.99
i-880967,0.38,29.99
i-880968,0.483,79.99
i-880969,1.28,149.99
i-880970,1.48,199.99
i-880971,0.172,699.0
i-880972,0.495,129.0
i-880973,0.166,799.0
i-880974,1.48,199.99
i-880975,0.44,476.0
i-880976,1.48,199.99
i-880977,0.88,89.99
i-880978,0.28,89.99
i-880979,1.37,2500.0
i-880980,0.495,129.0
i-880981,0.28,89.99
i-880982,0.28,89.99
i-880983,1.28,149.99
i-880984,0.2,39.99
i-880985,1.28,149.99
i-880986,0.2,39.99
i-880987,0.188,1149.0
i-880988,1.48,199.99
i-880989,0.28,449.0
i-880990,0.172,699.0
i-880991,0.21,529.0
i-880992,0.188,1149.0
i-880993,0.78,99.99
i-880994,0.28,89.99
i-880995,0.188,1149.0
i-880996,0.2,39.99
i-880997,0.98,129.99
i-880998,1.28,149.99
i-880999,0.88,89.99
i-881000,0.2,39.99
i-881001,0.188,1149.0
i-881002,1.25,2200.0
i-881003,1.48,199.99
i-881004,0.166,799.0
i-881005,0.21,529.0
i-881006,0.2,39.99
i-881007,0.98,129.99
i-881008,0.44,476.0
i-881009,0.495,129.0
i-881010,0.98,129.99
i-881011,0.483,495.0
i-881012,0.98,129.99
i-881013,0.2,39.99
i-881014,0.28,449.0
i-881015,0.166,799.0
i-881016,0.495,129.0
i-881017,0.483,1099.0
i-881018,0.21,529.0
i-881019,1.37,2500.0
i-881020,0.98,129.99
i-881021,0.483,1099.0
i-881022,0.98,129.99
i-881023,1.48,199.99
i-881024,0.28,449.0
i-881025,0.483,1099.0
i-881026,0.483,1099.0
i-881027,0.188,1149.0
i-881028,0.21,529.0
i-881029,0.28,89.99
i-881030,1.37,2500.0
i-881031,1.25,2200.0
i-881032,0.172,699.0
i-881033,0.495,129.0
i-881034,0.172,699.0
i-881035,0.28,449.0
i-881036,0.28,89.99
i-881037,0.188,1149.0
i-881038,0.98,129.99
i-881039,0.98,129.99
i-881040,0.172,699.0
i-881041,0.2,39.99
i-881042,0.495,129.0
i-881043,0.483,1099.0
i-881044,0.44,476.0
i-881045,1.28,149.99
i-881046,0.21,529.0
i-881047,0.2,39.99
i-881048,0.78,99.99
i-881049,0.483,495.0
i-881050,0.483,1099.0
i-881051,0.44,476.0
i-881052,0.495,129.0
i-881053,0.44,476.0
i-881054,0.483,1099.0
i-881055,0.98,129.99
i-881056,0.98,129.99
i-881057,0.483,495.0
i-881058,0.172,699.0
