id,type,time,Customer_Order,Transport_Document,Vehicle,Container,Handling_Unit,Truck,Forklift
load_truck_hu7,Load_Truck,2023-05-25T07:46:38,,,,cr3,hu7,tr4,
drive_term_cr2,Drive_to_Terminal,2023-05-25T08:40:46,,,,cr2,,tr6,
weigh_cr2,Weigh,2023-05-25T08:41:35,,,,cr2,,,fl1
stock_cr2,Place_in_Stock,2023-05-25T08:45:03,,,,cr2,,,fl1
drive_term_cr3,Drive_to_Terminal,2023-05-25T09:17:50,,,,cr3,,tr4,
weigh_cr3,Weigh,2023-05-25T09:19:35,,,,cr3,,,fl3
stock_cr3,Place_in_Stock,2023-05-25T09:21:37,,,,cr3,,,fl3
reg_co7,Register_Customer_Order,2023-05-25T12:21:06,co7,,,,,,
create_td2,Create_Transport_Document,2023-05-25T13:59:21,co7,td2,,,,,
book_vehs_td2,Book_Vehicles,2023-05-25T15:29:35,,td2,vh6,,,,
reg_co8,Register_Customer_Order,2023-05-25T18:52:42,co8,,,,,,
create_td3,Create_Transport_Document,2023-05-26T09:36:47,co6,td3,,,,,
create_td4,Create_Transport_Document,2023-05-26T09:41:01,co8,td4,,,,,
book_vehs_td3,Book_Vehicles,2023-05-26T09:53:25,,td3,vh5,,,,
book_vehs_td4,Book_Vehicles,2023-05-26T12:00:47,,td4,"vh1,vh6",,,,
order_crs_td2,Order_Empty_Containers,2023-05-26T12:32:25,,td2,,"cr6,cr7,cr8",,,
create_td5,Create_Transport_Document,2023-05-26T12:48:31,co5,td5,,,,,
create_td6,Create_Transport_Document,2023-05-26T14:54:26,co1,td6,,,,,
reg_co9,Register_Customer_Order,2023-05-26T15:01:20,co9,,,,,,
book_vehs_td5,Book_Vehicles,2023-05-26T16:36:27,,td5,vh6,,,,
collect_hu14,Collect_Goods,2023-05-27T16:23:23,,,,,hu14,,
pick_cr4,Pick_Up_Empty_Container,2023-05-27T16:23:23,,,,cr4,,,
pick_cr7,Pick_Up_Empty_Container,2023-05-29T02:04:04,,,,cr7,,,
collect_hu15,Collect_Goods,2023-05-29T05:27:29,,,,,hu15,,
collect_hu22,Collect_Goods,2023-05-29T05:36:19,,,,,hu22,,
collect_hu20,Collect_Goods,2023-05-29T05:37:54,,,,,hu20,,
to_bay_cr3,Bring_to_Loading_Bay,2023-05-29T05:42:27,,,,cr3,,,fl1
to_bay_cr2,Bring_to_Loading_Bay,2023-05-29T05:43:23,,,,cr2,,,fl3
load_veh_cr3,Load_to_Vehicle,2023-05-29T05:44:21,,,vh1,cr3,,,fl1
collect_hu13,Collect_Goods,2023-05-29T05:46:09,,,,,hu13,,
collect_hu19,Collect_Goods,2023-05-29T05:47:50,,,,,hu19,,
load_veh_cr2,Load_to_Vehicle,2023-05-29T05:52:41,,,vh1,cr2,,,fl3
collect_hu18,Collect_Goods,2023-05-29T05:53:54,,,,,hu18,,
collect_hu23,Collect_Goods,2023-05-29T05:55:55,,,,,hu23,,
collect_hu24,Collect_Goods,2023-05-29T05:57:29,,,,,hu24,,
load_truck_hu15,Load_Truck,2023-05-29T06:09:00,,,,cr4,hu15,tr1,
book_vehs_td6,Book_Vehicles,2023-05-29T06:10:43,,td6,"vh2,vh4",,,,
load_truck_hu13,Load_Truck,2023-05-29T06:15:42,,,,cr4,hu13,tr1,
load_truck_hu18,Load_Truck,2023-05-29T06:17:32,,,,cr4,hu18,tr1,
load_truck_hu14,Load_Truck,2023-05-29T06:21:51,,,,cr4,hu14,tr1,
collect_hu21,Collect_Goods,2023-05-29T07:07:43,,,,,hu21,,
collect_hu17,Collect_Goods,2023-05-29T07:11:49,,,,,hu17,,
load_truck_hu17,Load_Truck,2023-05-29T07:12:49,,,,cr4,hu17,tr1,
collect_hu16,Collect_Goods,2023-05-29T07:12:49,,,,,hu16,,
load_truck_hu16,Load_Truck,2023-05-29T07:17:03,,,,cr4,hu16,tr1,
load_truck_hu20,Load_Truck,2023-05-29T07:28:07,,,,cr7,hu20,tr5,
load_truck_hu23,Load_Truck,2023-05-29T07:28:42,,,,cr7,hu23,tr5,
load_truck_hu19,Load_Truck,2023-05-29T07:29:35,,,,cr7,hu19,tr5,
load_truck_hu22,Load_Truck,2023-05-29T07:30:49,,,,cr7,hu22,tr5,
pick_cr15,Pick_Up_Empty_Container,2023-05-29T07:32:25,,,,cr15,,,
order_crs_td4,Order_Empty_Containers,2023-05-29T07:32:25,,td4,,"cr12,cr13,cr14,cr15,cr16",,,
pick_cr14,Pick_Up_Empty_Container,2023-05-29T07:32:25,,,,cr14,,,
collect_hu27,Collect_Goods,2023-05-29T07:32:25,,,,,hu27,,
pick_cr12,Pick_Up_Empty_Container,2023-05-29T07:32:25,,,,cr12,,,
pick_cr16,Pick_Up_Empty_Container,2023-05-29T07:32:25,,,,cr16,,,
collect_hu39,Collect_Goods,2023-05-29T07:33:00,,,,,hu39,,
load_truck_hu21,Load_Truck,2023-05-29T07:34:38,,,,cr7,hu21,tr5,
load_truck_hu24,Load_Truck,2023-05-29T07:36:06,,,,cr7,hu24,tr5,
collect_hu33,Collect_Goods,2023-05-29T07:37:23,,,,,hu33,,
collect_hu31,Collect_Goods,2023-05-29T07:43:40,,,,,hu31,,
collect_hu42,Collect_Goods,2023-05-29T07:45:29,,,,,hu42,,
drive_term_cr7,Drive_to_Terminal,2023-05-29T07:50:18,,,,cr7,,tr5,
weigh_cr7,Weigh,2023-05-29T07:51:20,,,,cr7,,,fl3
stock_cr7,Place_in_Stock,2023-05-29T07:52:14,,,,cr7,,,fl3
collect_hu44,Collect_Goods,2023-05-29T07:52:32,,,,,hu44,,
load_truck_hu31,Load_Truck,2023-05-29T07:54:16,,,,cr12,hu31,tr4,
load_truck_hu42,Load_Truck,2023-05-29T07:54:29,,,,cr15,hu42,tr2,
load_truck_hu39,Load_Truck,2023-05-29T07:54:31,,,,cr16,hu39,tr3,
collect_hu37,Collect_Goods,2023-05-29T07:54:32,,,,,hu37,,
load_truck_hu27,Load_Truck,2023-05-29T07:54:45,,,,cr14,hu27,tr6,
load_truck_hu33,Load_Truck,2023-05-29T07:55:59,,,,cr12,hu33,tr4,
load_truck_hu44,Load_Truck,2023-05-29T07:58:16,,,,cr15,hu44,tr2,
order_crs_td5,Order_Empty_Containers,2023-05-29T08:17:08,,td5,,"cr17,cr18,cr19,cr20",,,
drive_term_cr4,Drive_to_Terminal,2023-05-29T08:21:59,,,,cr4,,tr1,
weigh_cr4,Weigh,2023-05-29T08:22:47,,,,cr4,,,fl1
pick_cr10,Pick_Up_Empty_Container,2023-05-29T08:22:58,,,,cr10,,,
order_crs_td3,Order_Empty_Containers,2023-05-29T08:22:58,,td3,,"cr10,cr11,cr9",,,
pick_cr11,Pick_Up_Empty_Container,2023-05-29T08:22:58,,,,cr11,,,
stock_cr4,Place_in_Stock,2023-05-29T08:25:52,,,,cr4,,,fl1
order_crs_td6,Order_Empty_Containers,2023-05-29T08:53:04,,td6,,"cr21,cr22,cr23,cr24",,,
load_truck_hu37,Load_Truck,2023-05-29T08:57:15,,,,cr16,hu37,tr3,
collect_hu35,Collect_Goods,2023-05-29T08:57:15,,,,,hu35,,
load_truck_hu35,Load_Truck,2023-05-29T08:58:41,,,,cr12,hu35,tr4,
collect_hu29,Collect_Goods,2023-05-29T08:58:41,,,,,hu29,,
reg_co10,Register_Customer_Order,2023-05-29T09:50:58,co10,,,,,,
collect_hu45,Collect_Goods,2023-05-29T10:04:39,,,,,hu45,,
load_truck_hu29,Load_Truck,2023-05-29T10:04:39,,,,cr14,hu29,tr6,
collect_hu36,Collect_Goods,2023-05-29T11:10:42,,,,,hu36,,
load_truck_hu45,Load_Truck,2023-05-29T11:10:42,,,,cr15,hu45,tr2,
load_truck_hu36,Load_Truck,2023-05-29T11:15:15,,,,cr12,hu36,tr4,
collect_hu55,Collect_Goods,2023-05-29T11:15:15,,,,,hu55,,
collect_hu41,Collect_Goods,2023-05-29T11:18:51,,,,,hu41,,
load_truck_hu55,Load_Truck,2023-05-29T11:18:51,,,,cr10,hu55,tr5,
load_truck_hu41,Load_Truck,2023-05-29T11:26:08,,,,cr15,hu41,tr2,
collect_hu26,Collect_Goods,2023-05-29T11:26:08,,,,,hu26,,
load_truck_hu26,Load_Truck,2023-05-29T11:37:04,,,,cr14,hu26,tr6,
collect_hu38,Collect_Goods,2023-05-29T11:37:04,,,,,hu38,,
load_truck_hu38,Load_Truck,2023-05-29T11:40:07,,,,cr16,hu38,tr3,
collect_hu48,Collect_Goods,2023-05-29T11:40:07,,,,,hu48,,
collect_hu53,Collect_Goods,2023-05-29T11:41:29,,,,,hu53,,
load_truck_hu48,Load_Truck,2023-05-29T11:41:29,,,,cr11,hu48,tr1,
load_truck_hu53,Load_Truck,2023-05-29T11:46:12,,,,cr10,hu53,tr5,
collect_hu28,Collect_Goods,2023-05-29T11:46:12,,,,,hu28,,
collect_hu54,Collect_Goods,2023-05-29T11:48:06,,,,,hu54,,
load_truck_hu28,Load_Truck,2023-05-29T11:48:06,,,,cr14,hu28,tr6,
collect_hu25,Collect_Goods,2023-05-29T11:49:52,,,,,hu25,,
load_truck_hu54,Load_Truck,2023-05-29T11:49:52,,,,cr10,hu54,tr5,
create_td7,Create_Transport_Document,2023-05-29T11:53:07,co3,td7,,,,,
collect_hu51,Collect_Goods,2023-05-29T11:55:51,,,,,hu51,,
load_truck_hu25,Load_Truck,2023-05-29T11:55:51,,,,cr14,hu25,tr6,
collect_hu49,Collect_Goods,2023-05-29T13:01:23,,,,,hu49,,
load_truck_hu51,Load_Truck,2023-05-29T13:01:23,,,,cr10,hu51,tr5,
collect_hu32,Collect_Goods,2023-05-29T13:02:32,,,,,hu32,,
load_truck_hu49,Load_Truck,2023-05-29T13:02:32,,,,cr11,hu49,tr1,
load_truck_hu32,Load_Truck,2023-05-29T13:03:08,,,,cr12,hu32,tr4,
collect_hu47,Collect_Goods,2023-05-29T13:03:08,,,,,hu47,,
collect_hu40,Collect_Goods,2023-05-29T13:06:32,,,,,hu40,,
load_truck_hu47,Load_Truck,2023-05-29T13:06:32,,,,cr11,hu47,tr1,
collect_hu46,Collect_Goods,2023-05-29T13:10:12,,,,,hu46,,
load_truck_hu40,Load_Truck,2023-05-29T13:10:12,,,,cr16,hu40,tr3,
load_truck_hu46,Load_Truck,2023-05-29T13:11:53,,,,cr15,hu46,tr2,
collect_hu52,Collect_Goods,2023-05-29T13:11:53,,,,,hu52,,
collect_hu34,Collect_Goods,2023-05-29T13:14:08,,,,,hu34,,
load_truck_hu52,Load_Truck,2023-05-29T13:14:08,,,,cr10,hu52,tr5,
load_truck_hu34,Load_Truck,2023-05-29T13:20:15,,,,cr12,hu34,tr4,
collect_hu50,Collect_Goods,2023-05-29T13:20:15,,,,,hu50,,
collect_hu30,Collect_Goods,2023-05-29T13:26:12,,,,,hu30,,
load_truck_hu50,Load_Truck,2023-05-29T13:26:12,,,,cr10,hu50,tr5,
load_truck_hu30,Load_Truck,2023-05-29T13:30:19,,,,cr14,hu30,tr6,
collect_hu43,Collect_Goods,2023-05-29T13:30:19,,,,,hu43,,
load_truck_hu43,Load_Truck,2023-05-29T13:32:49,,,,cr15,hu43,tr2,
collect_hu56,Collect_Goods,2023-05-29T13:43:58,,,,,hu56,,
pick_cr5,Pick_Up_Empty_Container,2023-05-29T13:43:58,,,,cr5,,,
drive_term_cr14,Drive_to_Terminal,2023-05-29T13:43:58,,,,cr14,,tr6,
collect_hu57,Collect_Goods,2023-05-29T13:45:13,,,,,hu57,,
drive_term_cr15,Drive_to_Terminal,2023-05-29T13:45:21,,,,cr15,,tr2,
weigh_cr14,Weigh,2023-05-29T13:46:58,,,,cr14,,,fl1
stock_cr14,Place_in_Stock,2023-05-29T13:49:51,,,,cr14,,,fl1
weigh_cr15,Weigh,2023-05-29T13:49:54,,,,cr15,,,fl2
stock_cr15,Place_in_Stock,2023-05-29T13:51:24,,,,cr15,,,fl2
drive_term_cr11,Drive_to_Terminal,2023-05-29T13:55:04,,,,cr11,,tr1,
drive_term_cr16,Drive_to_Terminal,2023-05-29T13:55:04,,,,cr16,,tr3,
pick_cr24,Pick_Up_Empty_Container,2023-05-29T13:55:56,,,,cr24,,,
collect_hu58,Collect_Goods,2023-05-29T13:55:56,,,,,hu58,,
weigh_cr11,Weigh,2023-05-29T13:56:13,,,,cr11,,,fl3
stock_cr11,Place_in_Stock,2023-05-29T13:58:49,,,,cr11,,,fl3
weigh_cr16,Weigh,2023-05-29T13:59:44,,,,cr16,,,fl2
create_td8,Create_Transport_Document,2023-05-29T14:01:39,co9,td8,,,,,
create_td9,Create_Transport_Document,2023-05-29T14:18:08,co4,td9,,,,,
book_vehs_td7,Book_Vehicles,2023-05-29T14:23:43,,td7,vh6,,,,
book_vehs_td9,Book_Vehicles,2023-05-29T14:27:06,,td9,"vh2,vh3",,,,
drive_term_cr12,Drive_to_Terminal,2023-05-29T14:30:46,,,,cr12,,tr4,
weigh_cr12,Weigh,2023-05-29T14:35:33,,,,cr12,,,fl1
stock_cr12,Place_in_Stock,2023-05-29T14:39:34,,,,cr12,,,fl1
drive_term_cr10,Drive_to_Terminal,2023-05-29T14:47:41,,,,cr10,,tr5,
weigh_cr10,Weigh,2023-05-29T14:48:36,,,,cr10,,,fl3
stock_cr10,Place_in_Stock,2023-05-29T14:51:50,,,,cr10,,,fl3
load_truck_hu57,Load_Truck,2023-05-29T14:52:21,,,,cr5,hu57,tr6,
load_truck_hu56,Load_Truck,2023-05-29T14:54:58,,,,cr5,hu56,tr6,
to_bay_cr16,Bring_to_Loading_Bay,2023-05-29T15:03:30,,,,cr16,,,fl2
load_veh_cr16,Load_to_Vehicle,2023-05-29T15:05:37,,,vh1,cr16,,,fl2
load_truck_hu58,Load_Truck,2023-05-29T15:18:50,,,,cr24,hu58,tr3,
reg_co11,Register_Customer_Order,2023-05-29T16:06:38,co11,,,,,,
drive_term_cr5,Drive_to_Terminal,2023-05-29T16:31:59,,,,cr5,,tr6,
weigh_cr5,Weigh,2023-05-29T16:42:04,,,,cr5,,,fl2
drive_term_cr24,Drive_to_Terminal,2023-05-29T16:59:24,,,,cr24,,tr3,
collect_hu60,Collect_Goods,2023-05-29T17:21:01,,,,,hu60,,
pick_cr1,Pick_Up_Empty_Container,2023-05-29T17:21:01,,,,cr1,,,
collect_hu63,Collect_Goods,2023-05-30T05:28:07,,,,,hu63,,
collect_hu64,Collect_Goods,2023-05-30T05:30:06,,,,,hu64,,
collect_hu61,Collect_Goods,2023-05-30T05:38:53,,,,,hu61,,
stock_cr5,Place_in_Stock,2023-05-30T05:42:26,,,,cr5,,,fl2
book_vehs_td8,Book_Vehicles,2023-05-30T05:46:23,,td8,vh8,,,,
collect_hu62,Collect_Goods,2023-05-30T05:49:33,,,,,hu62,,
load_truck_hu63,Load_Truck,2023-05-30T06:00:42,,,,cr1,hu63,tr2,
weigh_cr24,Weigh,2023-05-30T06:01:40,,,,cr24,,,fl3
load_truck_hu64,Load_Truck,2023-05-30T06:01:58,,,,cr1,hu64,tr2,
load_truck_hu61,Load_Truck,2023-05-30T06:03:08,,,,cr1,hu61,tr2,
load_truck_hu60,Load_Truck,2023-05-30T06:06:34,,,,cr1,hu60,tr2,
pick_cr21,Pick_Up_Empty_Container,2023-05-30T06:08:03,,,,cr21,,,
stock_cr24,Place_in_Stock,2023-05-30T06:08:04,,,,cr24,,,fl3
load_truck_hu62,Load_Truck,2023-05-30T06:51:24,,,,cr1,hu62,tr2,
collect_hu59,Collect_Goods,2023-05-30T06:51:24,,,,,hu59,,
load_truck_hu59,Load_Truck,2023-05-30T06:54:17,,,,cr1,hu59,tr2,
collect_hu66,Collect_Goods,2023-05-30T06:54:17,,,,,hu66,,
order_crs_td7,Order_Empty_Containers,2023-05-30T07:53:03,,td7,,"cr25,cr26,cr27",,,
load_truck_hu66,Load_Truck,2023-05-30T07:56:53,,,,cr21,hu66,tr4,
collect_hu70,Collect_Goods,2023-05-30T07:56:53,,,,,hu70,,
pick_cr33,Pick_Up_Empty_Container,2023-05-30T07:58:06,,,,cr33,,,
order_crs_td9,Order_Empty_Containers,2023-05-30T07:58:06,,td9,,"cr31,cr32,cr33,cr34",,,
create_td10,Create_Transport_Document,2023-05-30T08:39:18,co10,td10,,,,,
drive_term_cr1,Drive_to_Terminal,2023-05-30T08:58:48,,,,cr1,,tr2,
weigh_cr1,Weigh,2023-05-30T08:59:37,,,,cr1,,,fl2
depart_vh1,Depart,2023-05-30T09:00:00,,"td1,td4",vh1,"cr16,cr2,cr3",,,
collect_hu65,Collect_Goods,2023-05-30T09:01:36,,,,,hu65,,
load_truck_hu70,Load_Truck,2023-05-30T09:01:36,,,,cr21,hu70,tr4,
collect_hu67,Collect_Goods,2023-05-30T09:03:09,,,,,hu67,,
collect_hu75,Collect_Goods,2023-05-30T09:03:46,,,,,hu75,,
load_truck_hu65,Load_Truck,2023-05-30T09:05:32,,,,cr21,hu65,tr4,
load_truck_hu67,Load_Truck,2023-05-30T09:09:00,,,,cr21,hu67,tr4,
collect_hu68,Collect_Goods,2023-05-30T09:10:45,,,,,hu68,,
load_truck_hu68,Load_Truck,2023-05-30T09:12:58,,,,cr21,hu68,tr4,
collect_hu73,Collect_Goods,2023-05-30T09:12:58,,,,,hu73,,
collect_hu74,Collect_Goods,2023-05-30T09:15:00,,,,,hu74,,
load_truck_hu75,Load_Truck,2023-05-30T09:15:57,,,,cr33,hu75,tr5,
load_truck_hu73,Load_Truck,2023-05-30T09:19:11,,,,cr33,hu73,tr5,
collect_hu76,Collect_Goods,2023-05-30T09:21:46,,,,,hu76,,
load_truck_hu74,Load_Truck,2023-05-30T09:21:46,,,,cr33,hu74,tr5,
collect_hu69,Collect_Goods,2023-05-30T09:22:25,,,,,hu69,,
load_truck_hu76,Load_Truck,2023-05-30T09:25:32,,,,cr33,hu76,tr5,
collect_hu71,Collect_Goods,2023-05-30T09:27:48,,,,,hu71,,
load_truck_hu69,Load_Truck,2023-05-30T09:27:48,,,,cr21,hu69,tr4,
order_crs_td8,Order_Empty_Containers,2023-05-30T09:27:52,,td8,,"cr28,cr29,cr30",,,
collect_hu72,Collect_Goods,2023-05-30T09:29:32,,,,,hu72,,
load_truck_hu71,Load_Truck,2023-05-30T09:29:32,,,,cr33,hu71,tr5,
load_truck_hu72,Load_Truck,2023-05-30T09:32:31,,,,cr33,hu72,tr5,
drive_term_cr21,Drive_to_Terminal,2023-05-30T09:38:23,,,,cr21,,tr4,
weigh_cr21,Weigh,2023-05-30T09:44:14,,,,cr21,,,fl1
drive_term_cr33,Drive_to_Terminal,2023-05-30T09:44:49,,,,cr33,,tr5,
stock_cr21,Place_in_Stock,2023-05-30T09:45:33,,,,cr21,,,fl1
weigh_cr33,Weigh,2023-05-30T09:46:20,,,,cr33,,,fl3
book_vehs_td10,Book_Vehicles,2023-05-30T09:49:14,,td10,vh5,,,,
stock_cr33,Place_in_Stock,2023-05-30T09:51:06,,,,cr33,,,fl3
stock_cr1,Place_in_Stock,2023-05-30T10:02:07,,,,cr1,,,fl2
reg_co12,Register_Customer_Order,2023-05-30T10:07:58,co12,,,,,,
collect_hu78,Collect_Goods,2023-05-30T14:20:33,,,,,hu78,,
pick_cr28,Pick_Up_Empty_Container,2023-05-30T14:20:33,,,,cr28,,,
collect_hu77,Collect_Goods,2023-05-30T14:22:20,,,,,hu77,,
order_crs_td10,Order_Empty_Containers,2023-05-30T14:22:28,,td10,,"cr35,cr36,cr37,cr38,cr39",,,
collect_hu82,Collect_Goods,2023-05-30T14:29:02,,,,,hu82,,
collect_hu80,Collect_Goods,2023-05-30T14:33:48,,,,,hu80,,
collect_hu81,Collect_Goods,2023-05-30T14:35:37,,,,,hu81,,
collect_hu79,Collect_Goods,2023-05-30T14:37:31,,,,,hu79,,
load_truck_hu81,Load_Truck,2023-05-30T14:45:17,,,,cr28,hu81,tr2,
load_truck_hu77,Load_Truck,2023-05-30T14:49:25,,,,cr28,hu77,tr2,
load_truck_hu79,Load_Truck,2023-05-30T14:54:06,,,,cr28,hu79,tr2,
load_truck_hu82,Load_Truck,2023-05-30T14:57:33,,,,cr28,hu82,tr2,
load_truck_hu78,Load_Truck,2023-05-30T14:59:54,,,,cr28,hu78,tr2,
collect_hu88,Collect_Goods,2023-05-30T15:31:41,,,,,hu88,,
pick_cr35,Pick_Up_Empty_Container,2023-05-30T15:31:41,,,,cr35,,,
reg_co13,Register_Customer_Order,2023-05-30T15:40:38,co13,,,,,,
collect_hu84,Collect_Goods,2023-05-30T15:56:17,,,,,hu84,,
load_truck_hu80,Load_Truck,2023-05-30T16:10:00,,,,cr28,hu80,tr2,
pick_cr26,Pick_Up_Empty_Container,2023-05-30T16:28:08,,,,cr26,,,
collect_hu93,Collect_Goods,2023-05-30T17:11:32,,,,,hu93,,
pick_cr29,Pick_Up_Empty_Container,2023-05-30T19:59:08,,,,cr29,,,
collect_hu100,Collect_Goods,2023-05-31T05:25:28,,,,,hu100,,
collect_hu83,Collect_Goods,2023-05-31T05:31:42,,,,,hu83,,
collect_hu91,Collect_Goods,2023-05-31T05:36:05,,,,,hu91,,
collect_hu87,Collect_Goods,2023-05-31T05:38:07,,,,,hu87,,
load_truck_hu84,Load_Truck,2023-05-31T05:42:34,,,,cr35,hu84,tr3,
load_truck_hu88,Load_Truck,2023-05-31T05:44:21,,,,cr35,hu88,tr3,
collect_hu97,Collect_Goods,2023-05-31T05:45:43,,,,,hu97,,
load_truck_hu83,Load_Truck,2023-05-31T05:46:32,,,,cr35,hu83,tr3,
load_truck_hu87,Load_Truck,2023-05-31T05:50:34,,,,cr35,hu87,tr3,
collect_hu89,Collect_Goods,2023-05-31T05:53:45,,,,,hu89,,
collect_hu99,Collect_Goods,2023-05-31T05:55:32,,,,,hu99,,
load_truck_hu91,Load_Truck,2023-05-31T06:01:22,,,,cr26,hu91,tr5,
load_truck_hu89,Load_Truck,2023-05-31T06:02:55,,,,cr26,hu89,tr5,
load_truck_hu93,Load_Truck,2023-05-31T06:10:22,,,,cr26,hu93,tr5,
pick_cr32,Pick_Up_Empty_Container,2023-05-31T06:15:10,,,,cr32,,,
load_truck_hu97,Load_Truck,2023-05-31T06:39:03,,,,cr29,hu97,tr6,
load_truck_hu100,Load_Truck,2023-05-31T06:40:15,,,,cr29,hu100,tr6,
load_truck_hu99,Load_Truck,2023-05-31T07:04:08,,,,cr29,hu99,tr6,
collect_hu95,Collect_Goods,2023-05-31T07:04:08,,,,,hu95,,
load_truck_hu95,Load_Truck,2023-05-31T07:05:54,,,,cr29,hu95,tr6,
collect_hu105,Collect_Goods,2023-05-31T07:05:54,,,,,hu105,,
collect_hu102,Collect_Goods,2023-05-31T07:07:26,,,,,hu102,,
load_truck_hu105,Load_Truck,2023-05-31T07:07:26,,,,cr32,hu105,tr1,
collect_hu94,Collect_Goods,2023-05-31T07:09:00,,,,,hu94,,
load_truck_hu102,Load_Truck,2023-05-31T07:09:03,,,,cr32,hu102,tr1,
collect_hu104,Collect_Goods,2023-05-31T07:13:23,,,,,hu104,,
load_truck_hu94,Load_Truck,2023-05-31T07:13:23,,,,cr26,hu94,tr5,
collect_hu85,Collect_Goods,2023-05-31T07:16:22,,,,,hu85,,
load_truck_hu104,Load_Truck,2023-05-31T07:16:22,,,,cr32,hu104,tr1,
drive_term_cr28,Drive_to_Terminal,2023-05-31T07:18:30,,,,cr28,,tr2,
collect_hu101,Collect_Goods,2023-05-31T07:19:39,,,,,hu101,,
load_truck_hu85,Load_Truck,2023-05-31T07:19:39,,,,cr35,hu85,tr3,
collect_hu103,Collect_Goods,2023-05-31T07:20:23,,,,,hu103,,
load_truck_hu101,Load_Truck,2023-05-31T07:20:23,,,,cr32,hu101,tr1,
weigh_cr28,Weigh,2023-05-31T07:20:32,,,,cr28,,,fl2
collect_hu98,Collect_Goods,2023-05-31T07:22:34,,,,,hu98,,
load_truck_hu103,Load_Truck,2023-05-31T07:22:34,,,,cr32,hu103,tr1,
load_truck_hu98,Load_Truck,2023-05-31T07:24:18,,,,cr29,hu98,tr6,
collect_hu92,Collect_Goods,2023-05-31T07:24:18,,,,,hu92,,
stock_cr28,Place_in_Stock,2023-05-31T07:24:38,,,,cr28,,,fl2
collect_hu90,Collect_Goods,2023-05-31T07:31:25,,,,,hu90,,
load_truck_hu92,Load_Truck,2023-05-31T07:31:25,,,,cr26,hu92,tr5,
collect_hu106,Collect_Goods,2023-05-31T07:33:26,,,,,hu106,,
load_truck_hu90,Load_Truck,2023-05-31T07:36:00,,,,cr26,hu90,tr5,
load_truck_hu106,Load_Truck,2023-05-31T07:36:26,,,,cr32,hu106,tr1,
collect_hu86,Collect_Goods,2023-05-31T07:36:26,,,,,hu86,,
collect_hu96,Collect_Goods,2023-05-31T07:40:05,,,,,hu96,,
load_truck_hu86,Load_Truck,2023-05-31T07:40:05,,,,cr35,hu86,tr3,
