id,type,time,quotation,purchase_order,material,purchase_requisition,goods_receipt,invoice_receipt,payment
event:128,Perform_Two-Way_Match,2022-04-13T11:57:00,,,,,goods_receipt:2,invoice_receipt:2,
event:130,Create_Purchase_Requisition,2022-04-13T12:52:00,,,"material:37,material:39,material:38",purchase_requisition:14:pr_trigger_14,,,
event:132,Create_Goods_Receipt,2022-04-13T14:22:00,,purchase_order:4,,,goods_receipt:3,,
event:134,Create_Goods_Receipt,2022-04-13T17:13:00,,purchase_order:2,,,goods_receipt:1,,
event:135,Create_Goods_Receipt,2022-04-14T03:57:00,,purchase_order:2,,,goods_receipt:0,,
event:136,Create_Request_for_Quotation,2022-04-14T06:05:00,quotation:7,,,purchase_requisition:8:pr_trigger_8,,,
event:137,Approve_Purchase_Requisition,2022-04-14T06:35:00,,,"material:32,material:33",purchase_requisition:12:pr_trigger_12,,,
event:143,Create_Request_for_Quotation,2022-04-14T07:40:00,quotation:9,,,purchase_requisition:4:pr_trigger_4,,,
event:145,Create_Purchase_Requisition,2022-04-14T08:11:00,,,material:41,purchase_requisition:16:pr_trigger_16,,,
event:147,Create_Purchase_Order,2022-04-15T00:56:00,quotation:7,purchase_order:13,,,,,
event:150,Create_Purchase_Requisition,2022-04-15T09:30:00,,,"material:42,material:43",purchase_requisition:17:pr_trigger_17,,,
event:152,Create_Goods_Receipt,2022-04-15T11:11:00,,purchase_order:9,,,goods_receipt:6,,
event:154,Approve_Purchase_Order,2022-04-15T11:53:00,quotation:2,purchase_order:1,,,,,
event:159,Create_Purchase_Order,2022-04-15T12:00:00,quotation:9,purchase_order:15,,,,,
event:161,Create_Invoice_Receipt,2022-04-15T13:54:00,,,,,goods_receipt:3,invoice_receipt:3,
event:163,Perform_Two-Way_Match,2022-04-15T14:04:00,,,,,goods_receipt:3,invoice_receipt:3,
event:165,Create_Goods_Receipt,2022-04-15T14:22:00,,purchase_order:7,,,goods_receipt:4,,
event:166,Create_Goods_Receipt,2022-04-15T17:24:00,,purchase_order:1,,,goods_receipt:8,,
event:167,Approve_Purchase_Requisition,2022-04-15T21:31:00,,,"material:26,material:28,material:27",purchase_requisition:10:pr_trigger_10,,,
event:168,Create_Purchase_Order,2022-04-16T00:29:00,quotation:7,purchase_order:14,,,,,
event:169,Approve_Purchase_Order,2022-04-16T00:52:00,quotation:7,purchase_order:13,,,,,
event:170,Approve_Purchase_Requisition,2022-04-16T01:50:00,,,material:41,purchase_requisition:16:pr_trigger_16,,,
event:171,Create_Invoice_Receipt,2022-04-16T03:53:00,,,,,goods_receipt:6,invoice_receipt:4,
event:172,Approve_Purchase_Order,2022-04-16T09:41:00,quotation:6,purchase_order:10,,,,,
event:173,Create_Goods_Receipt,2022-04-16T09:57:00,,purchase_order:0,,,goods_receipt:7,,
event:174,Approve_Purchase_Order,2022-04-16T10:56:00,quotation:4,purchase_order:5,,,,,
event:175,Create_Request_for_Quotation,2022-04-16T12:36:00,quotation:12,,,purchase_requisition:12:pr_trigger_12,,,
event:176,Execute_Payment,2022-04-16T15:46:00,,purchase_order:4,,,goods_receipt:3,invoice_receipt:3,payment:0
event:177,Approve_Purchase_Requisition,2022-04-16T18:14:00,,,"material:37,material:39,material:38",purchase_requisition:14:pr_trigger_14,,,
event:178,Create_Invoice_Receipt,2022-04-16T18:40:00,,,,,goods_receipt:1,invoice_receipt:2,
event:179,Create_Request_for_Quotation,2022-04-16T21:31:00,quotation:10,,,purchase_requisition:9:pr_trigger_9,,,
event:180,Approve_Purchase_Requisition,2022-04-16T22:54:00,,,"material:34,material:36,material:35",purchase_requisition:13:pr_trigger_13,,,
event:181,Approve_Purchase_Requisition,2022-04-17T16:54:00,,,"material:42,material:43",purchase_requisition:17:pr_trigger_17,,,
event:182,Create_Goods_Receipt,2022-04-17T18:01:00,,purchase_order:0,,,goods_receipt:8,,
event:183,Create_Request_for_Quotation,2022-04-18T04:48:00,quotation:11,,,purchase_requisition:15:pr_trigger_15,,,
event:208,Perform_Two-Way_Match,2022-04-18T07:10:00,,,,,goods_receipt:6,invoice_receipt:4,
event:209,Perform_Two-Way_Match,2022-04-18T07:10:00,,,,,goods_receipt:1,invoice_receipt:2,
event:212,Execute_Payment,2022-04-18T10:05:00,,"purchase_order:2,purchase_order:3",,,"goods_receipt:2,goods_receipt:0,goods_receipt:1",invoice_receipt:2,payment:2
event:213,Create_Purchase_Requisition,2022-04-18T11:06:00,,,"material:45,material:44",purchase_requisition:18:pr_trigger_18,,,
event:215,Create_Goods_Receipt,2022-04-18T12:04:00,,purchase_order:10,,,goods_receipt:10,,
event:216,Create_Purchase_Requisition,2022-04-18T14:28:00,,,"material:47,material:48,material:46",purchase_requisition:19:pr_trigger_19,,,
event:218,Create_Invoice_Receipt,2022-04-18T15:22:00,,,,,goods_receipt:8,invoice_receipt:6,
event:219,Create_Purchase_Order,2022-04-18T16:51:00,quotation:11,purchase_order:18,,,,,
event:220,Approve_Purchase_Order,2022-04-18T17:22:00,quotation:9,purchase_order:15,,,,,
event:221,Create_Purchase_Order,2022-04-18T20:58:00,quotation:12,purchase_order:16,,,,,
event:222,Create_Request_for_Quotation,2022-04-18T23:16:00,quotation:17,,,purchase_requisition:17:pr_trigger_17,,,
event:223,Create_Goods_Receipt,2022-04-19T03:10:00,,purchase_order:5,,,goods_receipt:11,,
event:224,Create_Invoice_Receipt,2022-04-19T04:47:00,,,,,goods_receipt:7,invoice_receipt:6,
event:233,Perform_Two-Way_Match,2022-04-19T07:10:00,,,,,goods_receipt:7,invoice_receipt:6,
event:232,Perform_Two-Way_Match,2022-04-19T07:10:00,,,,,goods_receipt:8,invoice_receipt:6,
event:235,Create_Request_for_Quotation,2022-04-19T10:11:00,quotation:14,,,purchase_requisition:16:pr_trigger_16,,,
event:237,Create_Purchase_Order,2022-04-19T17:32:00,quotation:10,purchase_order:17,,,,,
event:238,Create_Purchase_Order,2022-04-19T19:44:00,quotation:14,purchase_order:21,,,,,
event:239,Create_Request_for_Quotation,2022-04-19T20:20:00,quotation:13,,,purchase_requisition:10:pr_trigger_10,,,
event:240,Create_Purchase_Order,2022-04-20T04:04:00,quotation:17,purchase_order:19,,,,,
event:247,Create_Goods_Receipt,2022-04-20T13:42:00,,purchase_order:5,,,goods_receipt:13,,
event:248,Approve_Purchase_Order,2022-04-20T14:08:00,quotation:12,purchase_order:16,,,,,
event:251,Create_Goods_Receipt,2022-04-20T18:26:00,,purchase_order:8,,,goods_receipt:5,,
event:252,Create_Goods_Receipt,2022-04-20T18:43:00,,purchase_order:6,,,goods_receipt:12,,
event:253,Approve_Purchase_Requisition,2022-04-20T20:13:00,,,"material:45,material:44",purchase_requisition:18:pr_trigger_18,,,
event:254,Approve_Purchase_Order,2022-04-20T21:12:00,quotation:14,purchase_order:21,,,,,
event:255,Create_Goods_Receipt,2022-04-20T23:39:00,,purchase_order:6,,,goods_receipt:13,,
event:256,Create_Purchase_Requisition,2022-04-21T03:15:00,,,material:49,purchase_requisition:20:pr_trigger_20,,,
event:257,Create_Purchase_Order,2022-04-21T05:57:00,quotation:13,purchase_order:22,,,,,
event:267,Create_Goods_Receipt,2022-04-21T11:15:00,,purchase_order:16,,,goods_receipt:15,,
event:268,Create_Purchase_Order,2022-04-21T11:27:00,quotation:17,purchase_order:20,,,,,
event:270,Execute_Payment,2022-04-21T12:36:00,,"purchase_order:0,purchase_order:1",,,"goods_receipt:8,goods_receipt:7",invoice_receipt:6,payment:3
event:271,Create_Goods_Receipt,2022-04-21T17:13:00,,purchase_order:5,,,goods_receipt:12,,
event:272,Create_Invoice_Receipt,2022-04-21T19:59:00,,,,,goods_receipt:4,invoice_receipt:8,
event:273,Create_Goods_Receipt,2022-04-21T20:01:00,,purchase_order:7,,,goods_receipt:5,,
event:275,Perform_Two-Way_Match,2022-04-22T07:10:00,,,,,goods_receipt:4,invoice_receipt:8,
event:276,Create_Request_for_Quotation,2022-04-22T08:01:00,quotation:18,,,purchase_requisition:18:pr_trigger_18,,,
event:279,Create_Goods_Receipt,2022-04-22T09:05:00,,purchase_order:15,,,goods_receipt:14,,
event:282,Create_Invoice_Receipt,2022-04-22T12:42:00,,,,,goods_receipt:13,invoice_receipt:11,
event:284,Perform_Two-Way_Match,2022-04-22T12:52:00,,,,,goods_receipt:13,invoice_receipt:11,
event:285,Create_Invoice_Receipt,2022-04-22T20:04:00,,,,,goods_receipt:14,invoice_receipt:12,
event:286,Create_Purchase_Requisition,2022-04-23T00:10:00,,,"material:50,material:51",purchase_requisition:21:pr_trigger_21,,,
event:287,Create_Purchase_Order,2022-04-23T00:41:00,quotation:18,purchase_order:25,,,,,
event:288,Approve_Purchase_Order,2022-04-23T05:21:00,quotation:17,purchase_order:20,,,,,
event:289,Approve_Purchase_Order,2022-04-23T11:34:00,quotation:7,purchase_order:14,,,,,
event:290,Approve_Purchase_Order,2022-04-23T11:44:00,quotation:11,purchase_order:18,,,,,
event:291,Create_Invoice_Receipt,2022-04-23T16:08:00,,,,,goods_receipt:5,invoice_receipt:8,
event:292,Create_Purchase_Order,2022-04-23T19:10:00,quotation:18,purchase_order:24,,,,,
event:293,Create_Purchase_Order,2022-04-23T21:34:00,quotation:13,purchase_order:23,,,,,
event:294,Create_Invoice_Receipt,2022-04-24T07:27:00,,,,,goods_receipt:11,invoice_receipt:11,
event:295,Create_Request_for_Quotation,2022-04-24T12:45:00,quotation:16,,,purchase_requisition:13:pr_trigger_13,,,
event:296,Approve_Purchase_Order,2022-04-24T14:34:00,quotation:8,purchase_order:12,,,,,
event:297,Execute_Payment,2022-04-24T14:58:00,,purchase_order:9,,,goods_receipt:6,invoice_receipt:4,payment:1
event:298,Approve_Purchase_Order,2022-04-24T18:12:00,quotation:10,purchase_order:17,,,,,
event:299,Create_Goods_Receipt,2022-04-24T20:32:00,,purchase_order:1,,,goods_receipt:7,,
event:300,Approve_Purchase_Requisition,2022-04-25T04:46:00,,,"material:47,material:48,material:46",purchase_requisition:19:pr_trigger_19,,,
event:320,Create_Purchase_Order,2022-04-25T07:06:00,quotation:16,purchase_order:26,,,,,
event:323,Perform_Two-Way_Match,2022-04-25T07:10:00,,,,,goods_receipt:11,invoice_receipt:11,
event:324,Perform_Two-Way_Match,2022-04-25T07:10:00,,,,,goods_receipt:5,invoice_receipt:8,
event:322,Perform_Two-Way_Match,2022-04-25T07:10:00,,,,,goods_receipt:14,invoice_receipt:12,
event:327,Create_Request_for_Quotation,2022-04-25T07:14:00,quotation:19,,,purchase_requisition:19:pr_trigger_19,,,
event:330,Create_Purchase_Requisition,2022-04-25T07:32:00,,,"material:56,material:55",purchase_requisition:23:pr_trigger_23,,,
event:332,Create_Purchase_Requisition,2022-04-25T08:21:00,,,material:57,purchase_requisition:24:pr_trigger_24,,,
event:334,Create_Goods_Receipt,2022-04-25T08:36:00,,purchase_order:17,,,goods_receipt:21,,
event:336,Create_Invoice_Receipt,2022-04-25T12:06:00,,,,,goods_receipt:21,invoice_receipt:13,
event:338,Perform_Two-Way_Match,2022-04-25T12:16:00,,,,,goods_receipt:21,invoice_receipt:13,
event:340,Create_Invoice_Receipt,2022-04-25T13:20:00,,,,,goods_receipt:12,invoice_receipt:11,
event:342,Perform_Two-Way_Match,2022-04-25T13:30:00,,,,,goods_receipt:12,invoice_receipt:11,
event:344,Approve_Purchase_Order,2022-04-25T19:02:00,quotation:13,purchase_order:23,,,,,
event:345,Create_Purchase_Requisition,2022-04-25T20:44:00,,,"material:52,material:54,material:53",purchase_requisition:22:pr_trigger_22,,,
event:346,Create_Purchase_Order,2022-04-25T21:18:00,quotation:19,purchase_order:28,,,,,
event:347,Execute_Payment,2022-04-25T23:03:00,,"purchase_order:8,purchase_order:7",,,"goods_receipt:4,goods_receipt:5",invoice_receipt:8,payment:5
event:348,Create_Goods_Receipt,2022-04-26T03:56:00,,purchase_order:21,,,goods_receipt:17,,
event:354,Create_Purchase_Requisition,2022-04-26T07:44:00,,,"material:65,material:63,material:64,material:62",purchase_requisition:26:pr_trigger_26,,,
event:356,Approve_Purchase_Requisition,2022-04-26T08:48:00,,,"material:52,material:54,material:53",purchase_requisition:22:pr_trigger_22,,,
event:358,Approve_Purchase_Order,2022-04-26T11:51:00,quotation:18,purchase_order:25,,,,,
event:359,Create_Request_for_Quotation,2022-04-26T14:26:00,quotation:21,,,purchase_requisition:22:pr_trigger_22,,,
event:361,Approve_Purchase_Requisition,2022-04-26T16:39:00,,,material:57,purchase_requisition:24:pr_trigger_24,,,
event:362,Create_Goods_Receipt,2022-04-26T18:23:00,,purchase_order:13,,,goods_receipt:19,,
event:363,Execute_Payment,2022-04-26T21:23:00,,purchase_order:17,,,goods_receipt:21,invoice_receipt:13,payment:6
event:364,Create_Purchase_Order,2022-04-27T01:46:00,quotation:21,purchase_order:30,,,,,
event:370,Approve_Purchase_Order,2022-04-27T08:07:00,quotation:17,purchase_order:19,,,,,
event:375,Approve_Purchase_Order,2022-04-27T08:55:00,quotation:16,purchase_order:26,,,,,
event:376,Create_Purchase_Requisition,2022-04-27T10:20:00,,,"material:67,material:66",purchase_requisition:27:pr_trigger_27,,,
event:378,Create_Purchase_Requisition,2022-04-27T11:55:00,,,material:68,purchase_requisition:28:pr_trigger_28,,,
event:380,Execute_Payment,2022-04-27T12:26:00,,purchase_order:15,,,goods_receipt:14,invoice_receipt:12,payment:4
event:381,Approve_Purchase_Requisition,2022-04-27T12:49:00,,,"material:50,material:51",purchase_requisition:21:pr_trigger_21,,,
event:383,Create_Purchase_Requisition,2022-04-27T13:42:00,,,"material:70,material:71,material:69",purchase_requisition:29:pr_trigger_29,,,
event:385,Create_Goods_Receipt,2022-04-27T16:39:00,,purchase_order:19,,,goods_receipt:22,,
event:386,Create_Request_for_Quotation,2022-04-27T16:52:00,quotation:20,,,purchase_requisition:25:pr_trigger_25,,,
event:387,Create_Purchase_Order,2022-04-27T22:12:00,quotation:16,purchase_order:27,,,,,
event:388,Execute_Payment,2022-04-28T02:22:00,,purchase_order:4,,,goods_receipt:3,invoice_receipt:3,payment:0
event:389,Create_Goods_Receipt,2022-04-28T03:13:00,,purchase_order:18,,,goods_receipt:20,,
event:390,Create_Goods_Receipt,2022-04-28T03:46:00,,purchase_order:13,,,goods_receipt:18,,
event:397,Create_Invoice_Receipt,2022-04-28T09:53:00,,,,,goods_receipt:20,invoice_receipt:15,
event:399,Perform_Two-Way_Match,2022-04-28T10:03:00,,,,,goods_receipt:20,invoice_receipt:15,
event:402,Create_Purchase_Requisition,2022-04-28T12:25:00,,,material:72,purchase_requisition:30:pr_trigger_30,,,
event:404,Create_Goods_Receipt,2022-04-28T12:51:00,,purchase_order:10,,,goods_receipt:9,,
event:407,Create_Purchase_Order,2022-04-28T13:14:00,quotation:20,purchase_order:32,,,,,
event:409,Create_Request_for_Quotation,2022-04-28T14:35:00,quotation:15,,,purchase_requisition:14:pr_trigger_14,,,
event:413,Create_Invoice_Receipt,2022-04-28T15:16:00,,,,,goods_receipt:17,invoice_receipt:14,
event:414,Create_Request_for_Quotation,2022-04-28T15:39:00,quotation:22,,,purchase_requisition:24:pr_trigger_24,,,
event:415,Approve_Purchase_Order,2022-04-28T15:54:00,quotation:8,purchase_order:11,,,,,
event:416,Create_Goods_Receipt,2022-04-28T20:36:00,,purchase_order:6,,,goods_receipt:11,,
event:417,Execute_Payment,2022-04-28T22:16:00,,purchase_order:4,,,goods_receipt:3,invoice_receipt:3,payment:0
event:418,Create_Purchase_Order,2022-04-28T23:14:00,quotation:15,purchase_order:34,,,,,
event:419,Create_Purchase_Order,2022-04-29T00:11:00,quotation:20,purchase_order:33,,,,,
event:420,Execute_Payment,2022-04-29T02:04:00,,"purchase_order:6,purchase_order:5",,,"goods_receipt:12,goods_receipt:13,goods_receipt:11",invoice_receipt:11,payment:7
event:421,Approve_Purchase_Order,2022-04-29T05:32:00,quotation:16,purchase_order:27,,,,,
event:422,Create_Invoice_Receipt,2022-04-29T06:03:00,,,,,goods_receipt:9,invoice_receipt:17,
event:423,Create_Goods_Receipt,2022-04-29T06:56:00,,purchase_order:19,,,goods_receipt:23,,
event:444,Perform_Two-Way_Match,2022-04-29T07:10:00,,,,,goods_receipt:17,invoice_receipt:14,
event:445,Perform_Two-Way_Match,2022-04-29T07:10:00,,,,,goods_receipt:9,invoice_receipt:17,
event:447,Approve_Purchase_Requisition,2022-04-29T07:24:00,,,"material:70,material:71,material:69",purchase_requisition:29:pr_trigger_29,,,
event:449,Create_Purchase_Requisition,2022-04-29T08:02:00,,,"material:73,material:74,material:75,material:76",purchase_requisition:31:pr_trigger_31,,,
event:451,Create_Purchase_Requisition,2022-04-29T09:31:00,,,material:79,purchase_requisition:33:pr_trigger_33,,,
event:453,Create_Purchase_Order,2022-04-29T13:29:00,quotation:15,purchase_order:36,,,,,
event:455,Approve_Purchase_Order,2022-04-29T14:58:00,quotation:21,purchase_order:30,,,,,
event:459,Create_Purchase_Requisition,2022-04-29T15:19:00,,,"material:77,material:78",purchase_requisition:32:pr_trigger_32,,,
event:460,Approve_Purchase_Order,2022-04-29T16:58:00,quotation:15,purchase_order:36,,,,,
event:461,Approve_Purchase_Requisition,2022-04-29T17:25:00,,,material:72,purchase_requisition:30:pr_trigger_30,,,
event:462,Create_Purchase_Order,2022-04-29T18:06:00,quotation:15,purchase_order:35,,,,,
event:463,Create_Goods_Receipt,2022-04-29T19:29:00,,purchase_order:27,,,goods_receipt:28,,
event:464,Create_Goods_Receipt,2022-04-29T20:01:00,,purchase_order:12,,,goods_receipt:26,,
event:465,Execute_Payment,2022-04-29T20:29:00,,purchase_order:21,,,goods_receipt:17,invoice_receipt:14,payment:9
event:466,Create_Goods_Receipt,2022-04-29T23:34:00,,purchase_order:11,,,goods_receipt:24,,
event:467,Approve_Purchase_Order,2022-04-30T02:18:00,quotation:15,purchase_order:34,,,,,
event:468,Create_Goods_Receipt,2022-04-30T04:48:00,,purchase_order:30,,,goods_receipt:31,,
event:470,Create_Goods_Receipt,2022-04-30T05:04:00,,purchase_order:12,,,goods_receipt:25,,
event:469,Create_Goods_Receipt,2022-04-30T05:04:00,,purchase_order:16,,,goods_receipt:16,,
event:471,Create_Goods_Receipt,2022-04-30T06:11:00,,purchase_order:12,,,goods_receipt:24,,
event:472,Create_Purchase_Order,2022-04-30T07:25:00,quotation:22,purchase_order:37,,,,,
event:473,Approve_Purchase_Order,2022-04-30T07:59:00,quotation:20,purchase_order:32,,,,,
event:474,Create_Invoice_Receipt,2022-04-30T10:54:00,,,,,goods_receipt:10,invoice_receipt:17,
event:475,Approve_Purchase_Requisition,2022-04-30T11:41:00,,,"material:67,material:66",purchase_requisition:27:pr_trigger_27,,,
event:476,Approve_Purchase_Requisition,2022-04-30T13:20:00,,,material:79,purchase_requisition:33:pr_trigger_33,,,
event:477,Create_Purchase_Order,2022-04-30T15:07:00,quotation:19,purchase_order:29,,,,,
event:478,Create_Request_for_Quotation,2022-04-30T15:52:00,quotation:24,,,purchase_requisition:29:pr_trigger_29,,,
event:479,Approve_Purchase_Order,2022-04-30T17:35:00,quotation:13,purchase_order:22,,,,,
event:480,Create_Goods_Receipt,2022-04-30T19:58:00,,purchase_order:27,,,goods_receipt:29,,
event:481,Approve_Purchase_Requisition,2022-04-30T21:56:00,,,material:68,purchase_requisition:28:pr_trigger_28,,,
event:482,Approve_Purchase_Requisition,2022-05-01T02:26:00,,,"material:73,material:74,material:75,material:76",purchase_requisition:31:pr_trigger_31,,,
event:483,Approve_Purchase_Order,2022-05-01T06:26:00,quotation:19,purchase_order:28,,,,,
event:484,Approve_Purchase_Requisition,2022-05-01T09:35:00,,,"material:65,material:63,material:64,material:62",purchase_requisition:26:pr_trigger_26,,,
event:485,Create_Goods_Receipt,2022-05-01T10:03:00,,purchase_order:20,,,goods_receipt:22,,
event:486,Create_Purchase_Order,2022-05-01T15:22:00,quotation:20,purchase_order:31,,,,,
event:487,Create_Goods_Receipt,2022-05-01T16:56:00,,purchase_order:26,,,goods_receipt:28,,
event:488,Approve_Purchase_Requisition,2022-05-01T22:10:00,,,material:49,purchase_requisition:20:pr_trigger_20,,,
event:518,Create_Invoice_Receipt,2022-05-02T07:04:00,,,,,goods_receipt:16,invoice_receipt:19,
event:520,Create_Purchase_Order,2022-05-02T07:07:00,quotation:24,purchase_order:38,,,,,
event:522,Perform_Two-Way_Match,2022-05-02T07:10:00,,,,,goods_receipt:10,invoice_receipt:17,
event:524,Perform_Two-Way_Match,2022-05-02T07:14:00,,,,,goods_receipt:16,invoice_receipt:19,
event:525,Create_Invoice_Receipt,2022-05-02T09:55:00,,,,,goods_receipt:26,invoice_receipt:22,
event:527,Perform_Two-Way_Match,2022-05-02T10:05:00,,,,,goods_receipt:26,invoice_receipt:22,
event:528,Create_Purchase_Requisition,2022-05-02T10:42:00,,,"material:80,material:81",purchase_requisition:34:pr_trigger_34,,,
event:530,Create_Goods_Receipt,2022-05-02T10:54:00,,purchase_order:27,,,goods_receipt:27,,
event:534,Approve_Purchase_Order,2022-05-02T14:08:00,quotation:24,purchase_order:38,,,,,
event:535,Create_Goods_Receipt,2022-05-02T14:28:00,,purchase_order:30,,,goods_receipt:32,,
event:536,Execute_Payment,2022-05-02T16:03:00,,purchase_order:18,,,goods_receipt:20,invoice_receipt:15,payment:8
event:537,Approve_Purchase_Order,2022-05-02T17:25:00,quotation:20,purchase_order:31,,,,,
event:538,Create_Goods_Receipt,2022-05-02T17:53:00,,purchase_order:11,,,goods_receipt:26,,
event:539,Create_Invoice_Receipt,2022-05-02T18:20:00,,,,,goods_receipt:25,invoice_receipt:22,
event:540,Create_Purchase_Order,2022-05-02T18:30:00,quotation:24,purchase_order:39,,,,,
