id,Net_Price_EKPO_NETPR,Quantity_EKPO_MENGE,Delivery_Date_EKPO_BEDAT,Plant_EKPO_WERKS,Material_EKPO_MATNR,Storage_Location_EKPO_LGORT
material:1412,350,67,2023-10-07T09:30:21.756356,3000,HELMET_M,0001
material:1516,250,45,2023-10-27T09:30:22.466503,2000,BIKE_HANDLE,0005
material:329,1400,59,2023-10-09T09:30:12.539681,3000,CRANKSET,0004
material:848,900,99,2023-10-29T09:30:16.424941,4000,MIRROR,0002
material:720,1350,19,2023-10-06T09:30:15.576718,2000,SHIFT_LEVER,0001
material:1618,350,74,2023-10-18T09:30:23.753717,2000,GLOVES_L,0003
material:1567,350,82,2023-10-27T09:30:23.075254,2000,PANTS_S,0002
material:550,600,71,2023-10-31T09:30:14.224523,4000,JACKET_L,0001
material:1423,1500,76,2023-10-03T09:30:21.821116,5000,CABLE,0001
material:160,1000,59,2023-10-18T09:30:11.233163,4000,TIRE_26,0001
material:1281,1100,68,2023-10-27T09:30:20.271267,3000,SPOKE,0002
material:1484,1250,44,2023-10-05T09:30:22.287686,2000,CASSETTE,0001
material:2147,600,80,2023-10-11T09:30:29.953686,5000,JACKET_L,0001
material:884,1500,88,2023-10-17T09:30:16.796218,3000,PEDAL,0005
material:662,700,31,2023-10-25T09:30:15.190909,2000,PUMP,0003
material:2102,400,69,2023-10-14T09:30:29.042458,2000,HELMET_S,0003
material:630,650,66,2023-10-08T09:30:14.983549,3000,LOCK,0005
material:1268,500,31,2023-10-20T09:30:20.183876,3000,JACKET_S,0003
material:2286,500,55,2023-10-12T09:30:31.651846,4000,JACKET_S,0005
material:1899,700,18,2023-10-05T09:30:26.719278,1000,PUMP,0005
material:2045,750,73,2023-10-28T09:30:28.628115,2000,PEDAL_STRAP,0004
material:1292,1250,16,2023-10-21T09:30:20.321892,4000,BRAKE_LEVER,0004
material:221,600,94,2023-10-30T09:30:11.618969,5000,JACKET_L,0004
material:229,650,61,2023-10-29T09:30:11.661110,5000,LOCK,0001
material:2129,200,88,2023-10-26T09:30:29.586524,3000,BIKE_WHEEL,0004
material:1949,200,7,2023-10-13T09:30:27.264216,4000,BIKE_SPOKE,0002
material:1218,150,89,2023-10-12T09:30:19.777581,2000,BIKE_BRAKE,0005
material:1365,1050,89,2023-10-13T09:30:21.278454,2000,TUBE_28,0001
material:983,1050,35,2023-10-31T09:30:17.804878,2000,TUBE_28,0004
material:526,600,37,2023-10-07T09:30:13.974657,2000,JACKET_L,0005
material:145,950,44,2023-10-24T09:30:11.127768,4000,HUB_BEARING,0001
material:2109,650,36,2023-10-29T09:30:29.122994,4000,LOCK,0002
material:1730,650,15,2023-10-08T09:30:24.905583,3000,LOCK,0002
material:1444,1350,41,2023-10-28T09:30:21.971311,2000,SHIFT_LEVER,0002
material:180,350,91,2023-10-19T09:30:11.370993,2000,HELMET_M,0001
material:112,750,17,2023-10-27T09:30:10.981448,3000,PEDAL_STRAP,0001
material:945,200,44,2023-10-31T09:30:17.503329,4000,BIKE_WHEEL,0002
material:85,200,2,2023-10-04T09:30:10.712323,1000,BIKE_WHEEL,0003
material:1779,700,98,2023-10-19T09:30:25.335593,2000,PUMP,0001
material:2111,800,36,2023-10-17T09:30:29.123002,1000,WATER_BOTTLE,0001
material:779,650,88,2023-10-09T09:30:15.967224,4000,LOCK,0001
material:119,200,13,2023-11-01T09:30:11.020233,5000,BIKE_WHEEL,0001
material:281,500,26,2023-11-01T09:30:12.116979,1000,JACKET_S,0005
material:411,900,82,2023-10-09T09:30:13.047792,1000,MIRROR,0004
material:1541,1350,60,2023-10-16T09:30:22.754597,2000,SHIFT_LEVER,0002
material:460,150,46,2023-10-25T09:30:13.525503,5000,BIKE_BRAKE,0001
material:1744,600,88,2023-10-30T09:30:25.011096,4000,GLOVES_M,0003
material:306,1400,26,2023-10-10T09:30:12.391537,1000,CRANKSET,0001
material:2073,1050,88,2023-10-13T09:30:28.899903,1000,NIPPLE,0001
material:1776,800,34,2023-10-19T09:30:25.335570,2000,LIGHT_FRONT,0001
material:1335,200,92,2023-10-18T09:30:20.927332,3000,BIKE_SPOKE,0005
material:459,300,62,2023-10-11T09:30:13.525483,3000,BIKE_PEDAL,0004
material:968,450,36,2023-10-30T09:30:17.649949,1000,JACKET_M,0001
material:1867,650,72,2023-11-01T09:30:26.361614,2000,BOTTLE_CAGE,0005
material:1784,1500,7,2023-10-24T09:30:25.556456,4000,PEDAL,0004
material:1940,400,67,2023-10-24T09:30:27.137691,1000,HELMET_S,0003
material:124,1000,12,2023-10-04T09:30:11.023218,1000,TIRE_26,0003
material:404,950,43,2023-10-25T09:30:13.030179,1000,TIRE_28,0003
material:177,500,76,2023-10-03T09:30:11.350546,3000,JACKET_S,0002
material:544,1350,80,2023-10-11T09:30:14.172541,1000,BOTTOM_BRACKET,0004
material:1010,500,77,2023-10-24T09:30:17.997423,2000,HELMET_L,0005
material:1976,950,20,2023-11-01T09:30:27.534743,5000,RIM_TAPE,0004
material:1372,1500,27,2023-10-31T09:30:21.360774,4000,PEDAL,0003
material:302,900,69,2023-10-17T09:30:12.240632,2000,BIKE_BELL,0005
material:1455,350,95,2023-10-25T09:30:22.048797,3000,PANTS_S,0001
material:1373,1250,90,2023-10-05T09:30:21.360778,2000,BRAKE_LEVER,0003
material:46,350,92,2023-10-14T09:30:10.430093,1000,PANTS_S,0001
material:556,1100,46,2023-10-20T09:30:14.286429,5000,SPOKE,0003
material:2156,150,18,2023-10-31T09:30:30.271882,4000,BIKE_SEAT,0003
material:624,900,43,2023-10-27T09:30:14.943432,4000,BIKE_BELL,0001
material:1682,1350,16,2023-11-01T09:30:24.378566,1000,SHIFT_LEVER,0004
material:36,1200,18,2023-10-14T09:30:10.305463,3000,VALVE,0005
material:1895,250,56,2023-10-16T09:30:26.678937,3000,BIKE_RIM,0005
material:348,1400,23,2023-10-11T09:30:12.595803,2000,DERAILLEUR,0001
material:141,250,84,2023-10-28T09:30:11.115000,2000,BIKE_HANDLE,0002
material:2168,1350,76,2023-10-25T09:30:30.374837,5000,BOTTOM_BRACKET,0003
material:1959,650,12,2023-10-26T09:30:27.326035,1000,SPEEDOMETER,0003
material:1459,650,59,2023-10-31T09:30:22.054530,4000,LOCK,0002
material:1469,1400,62,2023-10-10T09:30:22.127760,3000,DERAILLEUR,0004
material:680,400,50,2023-10-22T09:30:15.329022,1000,HELMET_S,0002
material:938,250,40,2023-10-11T09:30:17.501393,5000,BIKE_HANDLE,0005
material:1957,750,88,2023-10-10T09:30:27.326020,1000,PEDAL_STRAP,0003
material:76,1200,81,2023-10-12T09:30:10.649283,3000,WHEEL_HUB,0005
material:1133,1400,97,2023-10-24T09:30:19.059530,3000,DERAILLEUR,0004
material:552,1050,100,2023-10-31T09:30:14.259364,2000,TUBE_28,0001
material:1071,1500,33,2023-10-14T09:30:18.565959,2000,PEDAL,0002
material:2250,1100,11,2023-10-31T09:30:31.127654,5000,SPOKE,0004
material:601,950,42,2023-10-06T09:30:14.791861,3000,TIRE_28,0001
material:2213,1300,68,2023-10-30T09:30:30.731554,5000,CHAINRING,0003
material:1467,200,86,2023-10-27T09:30:22.123103,2000,BIKE_SPOKE,0002
material:258,1100,2,2023-10-06T09:30:11.937306,1000,SPOKE,0005
material:2086,1250,66,2023-10-23T09:30:28.953393,2000,CASSETTE,0004
material:1198,650,58,2023-10-24T09:30:19.669140,1000,LOCK,0003
material:252,1200,18,2023-11-01T09:30:11.907734,5000,WHEEL_HUB,0002
material:1155,400,22,2023-10-10T09:30:19.183943,3000,HELMET_S,0001
material:863,200,16,2023-10-15T09:30:16.684953,1000,BIKE_WHEEL,0004
material:202,1100,68,2023-10-24T09:30:11.557822,1000,TUBE_26,0004
material:5,200,78,2023-10-10T09:30:10.243421,1000,BIKE_SPOKE,0005
material:700,900,45,2023-10-14T09:30:15.500840,1000,MIRROR,0005
material:947,200,80,2023-10-18T09:30:17.504637,5000,BIKE_WHEEL,0005
material:296,1200,10,2023-10-05T09:30:12.155367,4000,VALVE,0003
material:993,600,19,2023-10-06T09:30:17.915106,5000,GLOVES_M,0005
material:1790,750,1,2023-10-22T09:30:25.675197,1000,PEDAL_STRAP,0005
material:128,1400,54,2023-10-05T09:30:11.028037,4000,DERAILLEUR,0002
material:431,300,97,2023-10-20T09:30:13.131744,3000,BIKE_PEDAL,0001
material:346,800,10,2023-10-12T09:30:12.593974,1000,WATER_BOTTLE,0004
material:535,1250,18,2023-10-24T09:30:14.044589,3000,CASSETTE,0004
material:1582,200,89,2023-10-30T09:30:23.161037,1000,BIKE_SPOKE,0005
material:1514,200,64,2023-10-03T09:30:22.466490,2000,BIKE_CHAIN,0001
material:2071,1100,97,2023-10-29T09:30:28.899888,1000,SPOKE,0002
material:290,300,1,2023-10-24T09:30:12.145530,4000,BIKE_FORK,0005
material:1011,450,29,2023-10-25T09:30:17.997432,5000,JACKET_M,0002
material:2100,600,11,2023-10-07T09:30:29.042441,2000,GLOVES_M,0005
material:491,400,34,2023-10-21T09:30:13.786426,4000,HELMET_S,0001
material:1411,200,71,2023-10-19T09:30:21.657733,4000,BIKE_WHEEL,0005
material:1332,950,55,2023-10-23T09:30:20.785019,1000,RIM_TAPE,0003
material:992,200,73,2023-10-11T09:30:17.913157,2000,BIKE_SPOKE,0002
material:1742,200,5,2023-10-19T09:30:24.994362,4000,BIKE_WHEEL,0004
material:1118,1200,60,2023-10-31T09:30:18.913744,3000,WHEEL_HUB,0001
material:117,500,51,2023-10-20T09:30:11.014381,3000,HELMET_L,0004
material:1105,1200,75,2023-10-29T09:30:18.872594,4000,VALVE,0005
material:1821,400,67,2023-10-22T09:30:25.985008,2000,HELMET_S,0002
material:2193,450,49,2023-10-10T09:30:30.561359,5000,JACKET_M,0003
material:643,750,30,2023-10-22T09:30:15.039968,2000,LIGHT_REAR,0002
material:1081,1200,32,2023-10-23T09:30:18.600570,4000,WHEEL_HUB,0003
material:140,1200,15,2023-10-15T09:30:11.088975,3000,VALVE,0005
material:1040,1500,19,2023-10-04T09:30:18.293943,1000,PEDAL,0002
material:1571,1100,18,2023-10-25T09:30:23.121158,1000,TUBE_26,0003
material:868,250,69,2023-10-30T09:30:16.716278,2000,BIKE_RIM,0005
material:363,1250,29,2023-10-17T09:30:12.739281,1000,BRAKE_LEVER,0001
material:1888,950,15,2023-10-07T09:30:26.619647,1000,RIM_TAPE,0004
material:1296,750,18,2023-10-29T09:30:20.328223,1000,LIGHT_REAR,0004
material:2047,650,73,2023-10-26T09:30:28.693156,5000,SPEEDOMETER,0005
material:369,600,51,2023-10-28T09:30:12.835214,1000,GLOVES_M,0005
material:1112,950,39,2023-10-17T09:30:18.905223,4000,HUB_BEARING,0001
material:139,1100,91,2023-10-03T09:30:11.087043,4000,SPOKE,0001
material:1530,450,2,2023-10-27T09:30:22.650979,1000,GLOVES_S,0004
material:1622,1500,91,2023-10-12T09:30:23.864882,3000,PEDAL,0005
material:1055,150,47,2023-10-12T09:30:18.424391,3000,BIKE_BRAKE,0003
material:67,350,63,2023-10-28T09:30:10.534836,4000,GLOVES_L,0005
material:2284,650,71,2023-10-10T09:30:31.562211,2000,LOCK,0001
material:2240,1500,43,2023-10-10T09:30:31.072370,2000,PEDAL,0004
material:164,700,81,2023-10-23T09:30:11.238042,1000,PUMP,0004
material:320,900,91,2023-10-23T09:30:12.479302,2000,MIRROR,0002
material:475,750,42,2023-10-07T09:30:13.639017,4000,LIGHT_REAR,0004
material:105,600,84,2023-10-19T09:30:10.893668,4000,GLOVES_M,0002
material:1495,200,75,2023-10-09T09:30:22.353686,1000,BIKE_CHAIN,0001
material:1231,350,41,2023-10-29T09:30:19.855497,1000,HELMET_M,0003
material:2077,300,72,2023-10-16T09:30:28.910463,3000,BIKE_PEDAL,0002
material:1442,1250,100,2023-10-17T09:30:21.919742,5000,BRAKE_LEVER,0002
material:396,1250,67,2023-10-30T09:30:12.994646,1000,BRAKE_LEVER,0005
material:878,100,60,2023-10-04T09:30:16.779619,5000,BIKE_FRAME,0002
material:485,1500,75,2023-10-07T09:30:13.759501,5000,CABLE,0002
material:1816,1500,32,2023-10-12T09:30:25.877565,4000,PEDAL,0001
material:4,150,86,2023-10-14T09:30:10.243409,4000,BIKE_BRAKE,0001
material:99,1500,81,2023-10-15T09:30:10.861778,5000,PEDAL,0002
material:879,150,66,2023-10-06T09:30:16.792807,4000,BIKE_BRAKE,0002
material:1540,750,91,2023-10-18T09:30:22.726520,3000,LIGHT_REAR,0004
material:228,900,88,2023-10-29T09:30:11.661106,4000,MIRROR,0004
material:1169,1350,24,2023-10-03T09:30:19.287407,2000,SHIFT_LEVER,0001
material:1759,1000,16,2023-10-22T09:30:25.171094,3000,TIRE_26,0004
material:1864,1400,20,2023-10-25T09:30:26.354079,5000,CRANKSET,0004
material:1046,900,9,2023-10-17T09:30:18.353557,1000,BIKE_BELL,0004
material:456,1200,59,2023-10-23T09:30:13.395476,1000,VALVE,0005
material:1822,750,24,2023-10-21T09:30:26.061183,5000,LIGHT_REAR,0004
material:1656,200,69,2023-10-20T09:30:24.203546,4000,BIKE_SPOKE,0003
material:2289,300,16,2023-10-29T09:30:31.719872,1000,BIKE_FORK,0003
material:1206,650,39,2023-10-20T09:30:19.725127,2000,SPEEDOMETER,0003
material:2124,1400,7,2023-10-09T09:30:29.495240,2000,DERAILLEUR,0003
material:1194,650,26,2023-10-08T09:30:19.631911,2000,BOTTLE_CAGE,0001
material:1205,700,94,2023-10-26T09:30:19.725123,4000,PUMP,0001
material:1456,600,77,2023-10-26T09:30:22.048802,5000,GLOVES_M,0001
material:937,200,58,2023-10-13T09:30:17.501380,3000,BIKE_CHAIN,0002
material:1751,1250,100,2023-10-12T09:30:25.070214,3000,CASSETTE,0005
material:239,1500,75,2023-10-14T09:30:11.730236,4000,CABLE,0005
material:502,200,51,2023-10-28T09:30:13.913730,2000,BIKE_WHEEL,0001
material:136,900,88,2023-10-26T09:30:11.083696,4000,BIKE_BELL,0004
material:2052,400,25,2023-10-19T09:30:28.816328,2000,HELMET_S,0003
material:1403,600,20,2023-10-23T09:30:21.562760,3000,JACKET_L,0004
material:806,700,80,2023-10-27T09:30:16.115629,5000,PUMP,0002
material:885,1250,58,2023-10-30T09:30:16.796223,3000,CHAIN,0005
material:1134,1400,11,2023-11-01T09:30:19.062122,5000,DERAILLEUR,0002
material:2008,650,70,2023-10-31T09:30:27.847807,3000,BOTTLE_CAGE,0002
material:690,350,94,2023-10-24T09:30:15.449971,4000,HELMET_M,0004
material:1887,1000,26,2023-10-13T09:30:26.619571,3000,TIRE_26,0005
material:1016,300,67,2023-10-19T09:30:18.023918,5000,BIKE_PEDAL,0002
material:1841,650,10,2023-10-19T09:30:26.221499,4000,LOCK,0004
material:997,450,76,2023-10-21T09:30:17.920946,1000,JACKET_M,0002
material:1430,1000,86,2023-10-14T09:30:21.854201,3000,TIRE_26,0004
material:1971,300,60,2023-10-10T09:30:27.413296,3000,BIKE_PEDAL,0002
material:1225,450,49,2023-10-15T09:30:19.797328,1000,GLOVES_S,0001
material:277,1100,3,2023-10-29T09:30:12.097068,3000,SPOKE,0005
material:991,200,26,2023-10-30T09:30:17.913153,4000,BIKE_WHEEL,0002
material:1324,1200,85,2023-10-19T09:30:20.604948,3000,VALVE,0001
material:1811,450,85,2023-11-01T09:30:25.863266,5000,GLOVES_S,0004
material:887,1100,86,2023-10-30T09:30:16.813331,3000,TUBE_26,0001
material:1664,350,27,2023-10-27T09:30:24.256793,3000,GLOVES_L,0004
material:2239,1400,88,2023-10-11T09:30:31.072356,3000,CRANKSET,0002
material:1419,1000,82,2023-10-08T09:30:21.791919,5000,TIRE_26,0002
material:1774,800,61,2023-11-01T09:30:25.288705,4000,WATER_BOTTLE,0001
material:761,1000,26,2023-10-09T09:30:15.717511,5000,TIRE_26,0001
material:1264,1350,91,2023-10-09T09:30:20.059172,5000,SHIFT_LEVER,0002
material:1637,650,37,2023-10-13T09:30:24.058891,1000,SPEEDOMETER,0005
material:1641,1200,88,2023-10-13T09:30:24.094057,5000,VALVE,0005
material:928,1050,50,2023-10-11T09:30:17.377030,4000,NIPPLE,0005
material:110,600,92,2023-10-13T09:30:10.976387,2000,GLOVES_M,0003
material:1182,950,15,2023-10-12T09:30:19.487429,3000,HUB_BEARING,0004
material:2146,450,26,2023-10-12T09:30:29.953675,3000,GLOVES_S,0004
material:2234,750,50,2023-10-27T09:30:30.929598,3000,LIGHT_REAR,0002
material:2050,1500,58,2023-10-03T09:30:28.773963,2000,PEDAL,0001
material:418,100,61,2023-10-15T09:30:13.090080,5000,BIKE_FRAME,0002
material:1918,1100,82,2023-10-20T09:30:26.936236,4000,SPOKE,0004
material:577,1500,17,2023-10-27T09:30:14.573105,3000,PEDAL,0005
material:2121,750,72,2023-10-31T09:30:29.381438,1000,LIGHT_REAR,0001
material:2166,800,87,2023-10-24T09:30:30.320220,3000,LIGHT_FRONT,0003
material:1171,400,25,2023-10-07T09:30:19.333374,2000,HELMET_S,0003
material:1214,800,48,2023-10-31T09:30:19.766785,2000,LIGHT_FRONT,0001
material:1549,1500,82,2023-10-13T09:30:22.848286,5000,PEDAL,0005
material:1546,950,94,2023-10-29T09:30:22.821637,5000,TIRE_28,0004
material:516,1400,45,2023-10-27T09:30:13.970746,5000,DERAILLEUR,0002
material:1002,1400,64,2023-10-04T09:30:17.923066,1000,DERAILLEUR,0002
material:1235,1100,25,2023-10-26T09:30:19.864660,3000,SPOKE,0004
material:1052,400,57,2023-10-27T09:30:18.397205,1000,HELMET_S,0002
material:1202,600,60,2023-10-19T09:30:19.700496,3000,JACKET_L,0001
material:271,1400,38,2023-10-04T09:30:12.052483,1000,CRANKSET,0005
material:1062,1400,64,2023-10-27T09:30:18.498462,2000,DERAILLEUR,0005
material:1451,350,78,2023-10-12T09:30:22.016578,2000,GLOVES_L,0005
material:694,1250,39,2023-10-12T09:30:15.490510,5000,CASSETTE,0004
material:480,700,27,2023-10-08T09:30:13.686962,2000,PUMP,0002
material:826,900,39,2023-11-01T09:30:16.204196,5000,BIKE_BELL,0005
material:1522,750,92,2023-10-03T09:30:22.537563,5000,LIGHT_REAR,0003
material:873,150,25,2023-10-28T09:30:16.761882,2000,BIKE_BRAKE,0003
material:272,1500,22,2023-10-03T09:30:12.052488,5000,PEDAL,0005
material:1621,800,93,2023-10-05T09:30:23.780033,2000,LIGHT_FRONT,0001
material:1953,1500,85,2023-10-12T09:30:27.297946,3000,PEDAL,0004
material:407,450,84,2023-10-21T09:30:13.045870,3000,GLOVES_S,0004
material:798,100,19,2023-10-17T09:30:16.075421,2000,BIKE_FRAME,0003
material:1861,1200,84,2023-10-16T09:30:26.336496,2000,VALVE,0005
material:548,350,87,2023-10-12T09:30:14.224503,5000,GLOVES_L,0001
material:1797,1100,81,2023-10-04T09:30:25.738219,2000,TUBE_26,0005
material:510,350,68,2023-10-16T09:30:13.924789,3000,PANTS_S,0003
material:20,950,58,2023-10-15T09:30:10.267398,3000,RIM_TAPE,0005
material:337,1000,48,2023-10-26T09:30:12.555781,3000,TIRE_26,0002
material:449,900,58,2023-10-26T09:30:13.343503,3000,MIRROR,0002
material:394,800,47,2023-10-09T09:30:12.983707,2000,LIGHT_FRONT,0001
material:587,600,69,2023-10-19T09:30:14.680920,4000,JACKET_L,0004
material:1136,800,11,2023-10-16T09:30:19.077926,2000,WATER_BOTTLE,0001
material:1690,100,64,2023-10-29T09:30:24.460063,2000,BIKE_FRAME,0005
material:1995,950,2,2023-10-03T09:30:27.673291,1000,HUB_BEARING,0001
material:322,650,28,2023-10-16T09:30:12.479310,5000,LOCK,0004
material:1689,150,63,2023-10-15T09:30:24.460049,5000,BIKE_BRAKE,0005
material:604,1100,12,2023-10-22T09:30:14.791882,3000,TUBE_26,0001
material:770,450,98,2023-10-05T09:30:15.855937,3000,GLOVES_S,0005
material:1059,1400,79,2023-10-19T09:30:18.498443,4000,CRANKSET,0001
material:2261,150,8,2023-10-07T09:30:31.288423,3000,BIKE_SEAT,0003
material:1945,1100,35,2023-10-27T09:30:27.216618,4000,SPOKE,0001
material:1754,750,27,2023-10-14T09:30:25.097950,4000,PEDAL_STRAP,0005
material:569,1100,57,2023-10-03T09:30:14.472908,2000,SPOKE,0005
material:2122,250,98,2023-10-31T09:30:29.383083,2000,BIKE_HANDLE,0004
material:1490,1000,57,2023-10-23T09:30:22.316574,5000,TIRE_26,0003
material:2095,450,77,2023-10-03T09:30:28.987394,3000,JACKET_M,0003
material:178,600,17,2023-10-30T09:30:11.350555,1000,GLOVES_M,0001
material:1764,950,76,2023-10-31T09:30:25.222246,5000,RIM_TAPE,0003
material:257,1300,89,2023-10-20T09:30:11.919706,5000,CHAINRING,0004
material:626,950,72,2023-10-06T09:30:14.945679,5000,TIRE_28,0002
material:270,1250,98,2023-10-10T09:30:12.052479,4000,CASSETTE,0003
material:1199,700,30,2023-10-12T09:30:19.669155,5000,PUMP,0001
material:490,1500,6,2023-10-23T09:30:13.770911,5000,PEDAL,0003
material:925,1400,80,2023-10-30T09:30:17.287533,1000,DERAILLEUR,0002
material:1416,750,38,2023-10-22T09:30:21.766055,3000,LIGHT_REAR,0003
material:1573,300,69,2023-10-21T09:30:23.155319,5000,BIKE_FORK,0004
material:384,500,98,2023-10-25T09:30:12.953344,3000,JACKET_S,0004
material:161,1050,86,2023-10-12T09:30:11.233167,1000,NIPPLE,0001
material:1993,1200,69,2023-10-13T09:30:27.666133,2000,WHEEL_HUB,0005
material:1950,300,28,2023-10-17T09:30:27.264229,2000,BIKE_FORK,0003
material:1305,650,7,2023-10-17T09:30:20.401032,1000,BOTTLE_CAGE,0003
material:1005,350,56,2023-10-19T09:30:17.929270,1000,GLOVES_L,0003
material:2277,750,5,2023-10-10T09:30:31.481849,1000,PEDAL_STRAP,0002
material:978,200,7,2023-10-24T09:30:17.795865,5000,BIKE_CHAIN,0002
material:285,650,98,2023-10-25T09:30:12.118395,1000,SPEEDOMETER,0005
material:793,200,29,2023-10-18T09:30:16.072945,1000,BIKE_SPOKE,0004
material:1290,1400,27,2023-10-03T09:30:20.320080,5000,CRANKSET,0001
material:1775,950,55,2023-10-28T09:30:25.294769,4000,TIRE_28,0001
